model,origin,mode,level,n_pairs,n_only_ai,n_only_human,n_discordant,bias,dim
deepseek-v4-pro,CN,control,group,64,5,4,9,0.1111111111111111,scale
deepseek-v4-pro,CN,control,individual,64,4,8,12,-0.3333333333333333,scale
deepseek-v4-pro,CN,control,society,64,2,0,2,1.0,scale
deepseek-v4-pro,CN,de,group,56,1,1,2,0.0,scale
deepseek-v4-pro,CN,de,individual,56,3,1,4,0.5,scale
deepseek-v4-pro,CN,de,society,56,12,1,13,0.8461538461538461,scale
deepseek-v4-pro,CN,he,group,56,0,0,0,,scale
deepseek-v4-pro,CN,he,individual,56,1,1,2,0.0,scale
deepseek-v4-pro,CN,he,society,56,2,1,3,0.3333333333333333,scale
deepseek-v4-pro,CN,pg,group,56,5,0,5,1.0,scale
deepseek-v4-pro,CN,pg,individual,56,7,2,9,0.5555555555555556,scale
deepseek-v4-pro,CN,pg,society,56,8,3,11,0.45454545454545453,scale
gemini-3.1-flash-lite,US,control,group,64,1,0,1,1.0,scale
gemini-3.1-flash-lite,US,control,individual,64,0,2,2,-1.0,scale
gemini-3.1-flash-lite,US,control,society,64,1,0,1,1.0,scale
gemini-3.1-flash-lite,US,de,group,56,0,0,0,,scale
gemini-3.1-flash-lite,US,de,individual,56,0,0,0,,scale
gemini-3.1-flash-lite,US,de,society,56,2,0,2,1.0,scale
gemini-3.1-flash-lite,US,he,group,56,0,0,0,,scale
gemini-3.1-flash-lite,US,he,individual,56,0,0,0,,scale
gemini-3.1-flash-lite,US,he,society,56,1,0,1,1.0,scale
gemini-3.1-flash-lite,US,pg,group,56,0,0,0,,scale
gemini-3.1-flash-lite,US,pg,individual,56,0,0,0,,scale
gemini-3.1-flash-lite,US,pg,society,56,0,2,2,-1.0,scale
gemma-4-31b,US,control,group,64,1,1,2,0.0,scale
gemma-4-31b,US,control,individual,64,0,2,2,-1.0,scale
gemma-4-31b,US,control,society,64,0,2,2,-1.0,scale
gemma-4-31b,US,de,group,56,1,1,2,0.0,scale
gemma-4-31b,US,de,individual,56,0,0,0,,scale
gemma-4-31b,US,de,society,56,0,0,0,,scale
gemma-4-31b,US,he,group,56,0,0,0,,scale
gemma-4-31b,US,he,individual,56,0,1,1,-1.0,scale
gemma-4-31b,US,he,society,56,2,0,2,1.0,scale
gemma-4-31b,US,pg,group,56,1,2,3,-0.3333333333333333,scale
gemma-4-31b,US,pg,individual,56,1,1,2,0.0,scale
gemma-4-31b,US,pg,society,56,2,3,5,-0.2,scale
glm-5.2,CN,control,group,64,4,1,5,0.6,scale
glm-5.2,CN,control,individual,64,11,5,16,0.375,scale
glm-5.2,CN,control,society,64,6,4,10,0.2,scale
glm-5.2,CN,de,group,56,4,6,10,-0.2,scale
glm-5.2,CN,de,individual,56,10,1,11,0.8181818181818182,scale
glm-5.2,CN,de,society,56,13,4,17,0.5294117647058824,scale
glm-5.2,CN,he,group,56,1,1,2,0.0,scale
glm-5.2,CN,he,individual,56,1,0,1,1.0,scale
glm-5.2,CN,he,society,56,5,1,6,0.6666666666666666,scale
glm-5.2,CN,pg,group,56,8,6,14,0.14285714285714285,scale
glm-5.2,CN,pg,individual,56,10,2,12,0.6666666666666666,scale
glm-5.2,CN,pg,society,56,7,3,10,0.4,scale
gpt-5.6-luna,US,control,group,64,3,3,6,0.0,scale
gpt-5.6-luna,US,control,individual,64,8,2,10,0.6,scale
gpt-5.6-luna,US,control,society,64,7,5,12,0.16666666666666666,scale
gpt-5.6-luna,US,de,group,56,2,0,2,1.0,scale
gpt-5.6-luna,US,de,individual,56,1,0,1,1.0,scale
gpt-5.6-luna,US,de,society,56,5,0,5,1.0,scale
gpt-5.6-luna,US,he,group,56,1,0,1,1.0,scale
gpt-5.6-luna,US,he,individual,56,0,1,1,-1.0,scale
gpt-5.6-luna,US,he,society,56,0,0,0,,scale
gpt-5.6-luna,US,pg,group,56,3,1,4,0.5,scale
gpt-5.6-luna,US,pg,individual,56,4,0,4,1.0,scale
gpt-5.6-luna,US,pg,society,56,10,3,13,0.5384615384615384,scale
gpt-5.6-sol,US,control,group,64,2,3,5,-0.2,scale
gpt-5.6-sol,US,control,individual,64,3,3,6,0.0,scale
gpt-5.6-sol,US,control,society,64,2,4,6,-0.3333333333333333,scale
gpt-5.6-sol,US,de,group,56,5,0,5,1.0,scale
gpt-5.6-sol,US,de,individual,56,1,1,2,0.0,scale
gpt-5.6-sol,US,de,society,56,3,0,3,1.0,scale
gpt-5.6-sol,US,he,group,56,0,0,0,,scale
gpt-5.6-sol,US,he,individual,56,0,0,0,,scale
gpt-5.6-sol,US,he,society,56,1,1,2,0.0,scale
gpt-5.6-sol,US,pg,group,56,6,1,7,0.7142857142857143,scale
gpt-5.6-sol,US,pg,individual,56,7,2,9,0.5555555555555556,scale
gpt-5.6-sol,US,pg,society,56,12,1,13,0.8461538461538461,scale
gpt-5.6-terra,US,control,group,64,2,5,7,-0.42857142857142855,scale
gpt-5.6-terra,US,control,individual,64,5,4,9,0.1111111111111111,scale
gpt-5.6-terra,US,control,society,64,6,2,8,0.5,scale
gpt-5.6-terra,US,de,group,56,0,0,0,,scale
gpt-5.6-terra,US,de,individual,56,0,0,0,,scale
gpt-5.6-terra,US,de,society,56,6,1,7,0.7142857142857143,scale
gpt-5.6-terra,US,he,group,56,0,0,0,,scale
gpt-5.6-terra,US,he,individual,56,0,0,0,,scale
gpt-5.6-terra,US,he,society,56,0,0,0,,scale
gpt-5.6-terra,US,pg,group,56,3,2,5,0.2,scale
gpt-5.6-terra,US,pg,individual,56,5,0,5,1.0,scale
gpt-5.6-terra,US,pg,society,56,3,3,6,0.0,scale
grok-4.3,US,control,group,64,8,4,12,0.3333333333333333,scale
grok-4.3,US,control,individual,64,10,3,13,0.5384615384615384,scale
grok-4.3,US,control,society,64,6,2,8,0.5,scale
grok-4.3,US,de,group,56,10,4,14,0.42857142857142855,scale
grok-4.3,US,de,individual,56,11,4,15,0.4666666666666667,scale
grok-4.3,US,de,society,56,4,3,7,0.14285714285714285,scale
grok-4.3,US,he,group,56,0,1,1,-1.0,scale
grok-4.3,US,he,individual,56,3,1,4,0.5,scale
grok-4.3,US,he,society,56,8,0,8,1.0,scale
grok-4.3,US,pg,group,56,6,0,6,1.0,scale
grok-4.3,US,pg,individual,56,8,2,10,0.6,scale
grok-4.3,US,pg,society,56,5,2,7,0.42857142857142855,scale
haiku-4.5,US,control,group,64,8,4,12,0.3333333333333333,scale
haiku-4.5,US,control,individual,64,11,2,13,0.6923076923076923,scale
haiku-4.5,US,control,society,64,5,2,7,0.42857142857142855,scale
haiku-4.5,US,de,group,56,7,2,9,0.5555555555555556,scale
haiku-4.5,US,de,individual,56,2,0,2,1.0,scale
haiku-4.5,US,de,society,56,6,4,10,0.2,scale
haiku-4.5,US,he,group,56,2,1,3,0.3333333333333333,scale
haiku-4.5,US,he,individual,56,6,1,7,0.7142857142857143,scale
haiku-4.5,US,he,society,56,5,2,7,0.42857142857142855,scale
haiku-4.5,US,pg,group,56,12,1,13,0.8461538461538461,scale
haiku-4.5,US,pg,individual,56,10,2,12,0.6666666666666666,scale
haiku-4.5,US,pg,society,56,8,3,11,0.45454545454545453,scale
hy3,CN,control,group,64,3,5,8,-0.25,scale
hy3,CN,control,individual,64,10,2,12,0.6666666666666666,scale
hy3,CN,control,society,64,4,1,5,0.6,scale
hy3,CN,de,group,56,8,1,9,0.7777777777777778,scale
hy3,CN,de,individual,56,7,5,12,0.16666666666666666,scale
hy3,CN,de,society,56,2,2,4,0.0,scale
hy3,CN,he,group,56,2,0,2,1.0,scale
hy3,CN,he,individual,56,1,0,1,1.0,scale
hy3,CN,he,society,56,4,2,6,0.3333333333333333,scale
hy3,CN,pg,group,56,6,3,9,0.3333333333333333,scale
hy3,CN,pg,individual,56,7,3,10,0.4,scale
hy3,CN,pg,society,56,6,2,8,0.5,scale
inkling,US,control,group,64,4,4,8,0.0,scale
inkling,US,control,individual,64,10,3,13,0.5384615384615384,scale
inkling,US,control,society,64,2,2,4,0.0,scale
inkling,US,de,group,56,7,1,8,0.75,scale
inkling,US,de,individual,56,6,3,9,0.3333333333333333,scale
inkling,US,de,society,56,8,3,11,0.45454545454545453,scale
inkling,US,he,group,56,1,0,1,1.0,scale
inkling,US,he,individual,56,3,0,3,1.0,scale
inkling,US,he,society,56,2,1,3,0.3333333333333333,scale
inkling,US,pg,group,56,7,2,9,0.5555555555555556,scale
inkling,US,pg,individual,56,10,2,12,0.6666666666666666,scale
inkling,US,pg,society,56,6,3,9,0.3333333333333333,scale
kimi-k2.6,CN,control,group,64,5,1,6,0.6666666666666666,scale
kimi-k2.6,CN,control,individual,64,7,4,11,0.2727272727272727,scale
kimi-k2.6,CN,control,society,64,5,1,6,0.6666666666666666,scale
kimi-k2.6,CN,de,group,56,10,2,12,0.6666666666666666,scale
kimi-k2.6,CN,de,individual,56,5,2,7,0.42857142857142855,scale
kimi-k2.6,CN,de,society,56,10,6,16,0.25,scale
kimi-k2.6,CN,he,group,56,1,0,1,1.0,scale
kimi-k2.6,CN,he,individual,56,0,0,0,,scale
kimi-k2.6,CN,he,society,56,4,0,4,1.0,scale
kimi-k2.6,CN,pg,group,56,13,2,15,0.7333333333333333,scale
kimi-k2.6,CN,pg,individual,56,13,0,13,1.0,scale
kimi-k2.6,CN,pg,society,56,8,3,11,0.45454545454545453,scale
kimi-k3,CN,control,group,64,2,2,4,0.0,scale
kimi-k3,CN,control,individual,64,5,2,7,0.42857142857142855,scale
kimi-k3,CN,control,society,64,6,3,9,0.3333333333333333,scale
kimi-k3,CN,de,group,56,0,0,0,,scale
kimi-k3,CN,de,individual,56,10,1,11,0.8181818181818182,scale
kimi-k3,CN,de,society,56,8,0,8,1.0,scale
kimi-k3,CN,he,group,56,0,2,2,-1.0,scale
kimi-k3,CN,he,individual,56,0,1,1,-1.0,scale
kimi-k3,CN,he,society,56,1,0,1,1.0,scale
kimi-k3,CN,pg,group,56,7,1,8,0.75,scale
kimi-k3,CN,pg,individual,56,9,0,9,1.0,scale
kimi-k3,CN,pg,society,56,6,4,10,0.2,scale
ling-3.0-flash,CN,control,group,64,7,3,10,0.4,scale
ling-3.0-flash,CN,control,individual,64,4,5,9,-0.1111111111111111,scale
ling-3.0-flash,CN,control,society,64,6,4,10,0.2,scale
ling-3.0-flash,CN,de,group,56,5,4,9,0.1111111111111111,scale
ling-3.0-flash,CN,de,individual,56,8,5,13,0.23076923076923078,scale
ling-3.0-flash,CN,de,society,56,10,6,16,0.25,scale
ling-3.0-flash,CN,he,group,56,1,3,4,-0.5,scale
ling-3.0-flash,CN,he,individual,56,6,1,7,0.7142857142857143,scale
ling-3.0-flash,CN,he,society,56,3,5,8,-0.25,scale
ling-3.0-flash,CN,pg,group,56,5,3,8,0.25,scale
ling-3.0-flash,CN,pg,individual,56,7,4,11,0.2727272727272727,scale
ling-3.0-flash,CN,pg,society,56,4,4,8,0.0,scale
mimo-v2.5-pro,CN,control,group,64,9,5,14,0.2857142857142857,scale
mimo-v2.5-pro,CN,control,individual,64,8,4,12,0.3333333333333333,scale
mimo-v2.5-pro,CN,control,society,64,9,3,12,0.5,scale
mimo-v2.5-pro,CN,de,group,56,4,1,5,0.6,scale
mimo-v2.5-pro,CN,de,individual,56,2,2,4,0.0,scale
mimo-v2.5-pro,CN,de,society,56,12,1,13,0.8461538461538461,scale
mimo-v2.5-pro,CN,he,group,56,2,0,2,1.0,scale
mimo-v2.5-pro,CN,he,individual,56,1,1,2,0.0,scale
mimo-v2.5-pro,CN,he,society,56,1,1,2,0.0,scale
mimo-v2.5-pro,CN,pg,group,56,5,1,6,0.6666666666666666,scale
mimo-v2.5-pro,CN,pg,individual,56,10,1,11,0.8181818181818182,scale
mimo-v2.5-pro,CN,pg,society,56,4,1,5,0.6,scale
minimax-m3,CN,control,group,64,8,4,12,0.3333333333333333,scale
minimax-m3,CN,control,individual,64,10,6,16,0.25,scale
minimax-m3,CN,control,society,64,6,4,10,0.2,scale
minimax-m3,CN,de,group,56,6,5,11,0.09090909090909091,scale
minimax-m3,CN,de,individual,56,5,7,12,-0.16666666666666666,scale
minimax-m3,CN,de,society,56,8,2,10,0.6,scale
minimax-m3,CN,he,group,56,1,0,1,1.0,scale
minimax-m3,CN,he,individual,56,1,1,2,0.0,scale
minimax-m3,CN,he,society,56,1,1,2,0.0,scale
minimax-m3,CN,pg,group,56,2,7,9,-0.5555555555555556,scale
minimax-m3,CN,pg,individual,56,14,3,17,0.6470588235294118,scale
minimax-m3,CN,pg,society,56,11,5,16,0.375,scale
nemotron-3-ultra,US,control,group,64,2,3,5,-0.2,scale
nemotron-3-ultra,US,control,individual,64,2,4,6,-0.3333333333333333,scale
nemotron-3-ultra,US,control,society,64,2,2,4,0.0,scale
nemotron-3-ultra,US,de,group,56,1,1,2,0.0,scale
nemotron-3-ultra,US,de,individual,56,4,2,6,0.3333333333333333,scale
nemotron-3-ultra,US,de,society,56,5,3,8,0.25,scale
nemotron-3-ultra,US,he,group,56,0,0,0,,scale
nemotron-3-ultra,US,he,individual,56,1,0,1,1.0,scale
nemotron-3-ultra,US,he,society,56,3,2,5,0.2,scale
nemotron-3-ultra,US,pg,group,56,2,0,2,1.0,scale
nemotron-3-ultra,US,pg,individual,56,5,2,7,0.42857142857142855,scale
nemotron-3-ultra,US,pg,society,56,6,8,14,-0.14285714285714285,scale
nemotron-3.5-lightning,US,control,group,64,0,1,1,-1.0,scale
nemotron-3.5-lightning,US,control,individual,64,3,3,6,0.0,scale
nemotron-3.5-lightning,US,control,society,64,2,1,3,0.3333333333333333,scale
nemotron-3.5-lightning,US,de,group,55,1,1,2,0.0,scale
nemotron-3.5-lightning,US,de,individual,56,0,1,1,-1.0,scale
nemotron-3.5-lightning,US,de,society,56,2,1,3,0.3333333333333333,scale
nemotron-3.5-lightning,US,he,group,56,1,0,1,1.0,scale
