mode,context,n_models,n_discordant_median,disc_frac,bias,lo,hi,sd_models,p_t,n_negative,testable,q_bh
ctl,Academia,7,3.0,0.1209,-0.4143,-1.047,0.2185,0.6842,0.1603,6,True,0.2404
ctl,Diplomacy,8,4.0,0.2045,-0.2292,-0.8565,0.3981,0.7503,0.4163,4,True,0.5109
ctl,Fiction,7,2.0,0.1101,-0.5714,-1.2991,0.1562,0.7868,0.103,5,True,0.1739
ctl,Government,8,5.5,0.2253,-0.55,-1.1095,0.0095,0.6693,0.0531,7,True,0.1298
ctl,Interpersonal,7,3.0,0.1473,-0.1619,-0.7379,0.4141,0.6228,0.5173,4,True,0.582
ctl,Markets,7,5.0,0.1943,-0.6714,-1.0121,-0.3307,0.3684,0.0029,6,True,0.0198
ctl,Media,7,2.5,0.1472,-0.8214,-1.0587,-0.5842,0.2565,0.0001,7,True,0.004
ctl,Work,7,5.0,0.1984,-0.4592,-1.2407,0.3223,0.845,0.2006,5,True,0.2707
de,Academia,6,2.0,0.1098,-0.5333,-1.3902,0.3235,0.8165,0.1705,5,True,0.2423
de,Diplomacy,6,1.0,0.1012,-0.2222,-1.252,0.8076,0.9813,0.603,4,True,0.6262
de,Fiction,6,2.5,0.1995,-0.619,-1.46,0.2219,0.8014,0.117,5,True,0.1859
de,Government,6,5.0,0.1951,-0.6635,-1.2068,-0.1202,0.5177,0.0257,5,True,0.0991
de,Interpersonal,7,2.5,0.1042,-0.5714,-1.2991,0.1562,0.7868,0.103,5,True,0.1739
de,Markets,7,4.0,0.2344,-0.4524,-1.0202,0.1155,0.614,0.0991,4,True,0.1739
de,Media,6,3.5,0.1875,-0.7475,-1.3084,-0.1866,0.5345,0.0187,5,True,0.0842
de,Work,7,4.5,0.1979,-0.585,-1.1053,-0.0647,0.5626,0.0332,5,True,0.1048
he,Academia,5,1.0,0.026,-0.2,-1.5602,1.1602,1.0954,0.704,3,True,0.704
he,Diplomacy,2,0.0,0.0104,-1.0,-1.0,-1.0,0.0,,2,False,
he,Fiction,4,0.5,0.0469,-0.75,-1.5456,0.0456,0.5,0.0577,3,True,0.1298
he,Government,7,2.5,0.0885,-0.2619,-1.0961,0.5722,0.9019,0.4715,5,True,0.5535
he,Markets,3,0.0,0.0156,-0.3333,-3.2018,2.5351,1.1547,,2,False,
he,Work,6,1.0,0.0469,-1.0,-1.0,-1.0,0.0,,6,False,
pg,Academia,7,6.0,0.2303,-0.7653,-1.1738,-0.3568,0.4417,0.0038,6,True,0.0203
pg,Diplomacy,7,6.5,0.2656,-0.6429,-1.2225,-0.0632,0.6268,0.0349,5,True,0.1048
pg,Fiction,6,3.0,0.1908,-0.8571,-1.2244,-0.4899,0.3499,0.0018,6,True,0.0198
pg,Government,8,3.0,0.1572,-0.1667,-0.8653,0.532,0.8357,0.5903,4,True,0.6262
pg,Interpersonal,7,2.5,0.1311,-0.7619,-1.1484,-0.3755,0.4179,0.0029,6,True,0.0198
pg,Markets,8,4.0,0.1676,-0.4792,-1.0724,0.114,0.7096,0.0978,6,True,0.1739
pg,Media,7,2.5,0.1252,-0.381,-1.057,0.2951,0.731,0.2172,5,True,0.2792
pg,Work,7,5.0,0.2083,-0.5071,-1.0251,0.0108,0.5601,0.0536,5,True,0.1298
