mode,domain,n_models,n_discordant_median,disc_frac,bias,lo,hi,sd_models,p_t,n_negative,testable,q_bh
de,Attentional,7,4.5,0.2031,-0.2585,-0.9812,0.4642,0.7814,0.4151,4,True,0.4382
de,Epistemic,7,3.0,0.1841,-0.4286,-1.3311,0.474,0.9759,0.2894,5,True,0.3928
de,Health,7,4.0,0.1839,-0.6735,-1.363,0.0161,0.7456,0.054,6,True,0.1141
de,Legal,7,4.5,0.1823,-0.8878,-1.074,-0.7015,0.2014,0.0,7,True,0.0005
de,Physical,5,2.5,0.1363,-1.0,-1.0,-1.0,0.0,,5,False,
de,Rank,6,2.5,0.1165,-0.3611,-1.2489,0.5267,0.846,0.3437,4,True,0.4353
de,Status,7,3.5,0.1569,-0.4286,-1.2037,0.3465,0.8381,0.2248,5,True,0.3286
de,Wealth,7,2.5,0.1676,-0.7857,-1.1495,-0.4219,0.3934,0.0019,6,True,0.0071
he,Epistemic,2,0.0,0.0104,0.0,-12.7062,12.7062,1.4142,,1,False,
he,Health,4,0.5,0.026,-0.5,-2.0912,1.0912,1.0,0.391,3,True,0.437
he,Legal,6,2.0,0.0833,-0.8056,-1.1265,-0.4846,0.3058,0.0013,6,True,0.0063
he,Physical,5,1.0,0.0417,-0.6,-1.7106,0.5106,0.8944,0.208,4,True,0.3286
he,Rank,3,0.0,0.0208,-0.3333,-3.2018,2.5351,1.1547,,2,False,
he,Wealth,6,1.0,0.0521,-0.5,-1.378,0.378,0.8367,0.2031,4,True,0.3286
pg,Attentional,7,2.0,0.1316,-0.2381,-1.0081,0.5319,0.8325,0.4779,4,True,0.4779
pg,Epistemic,7,4.0,0.1634,-0.568,-0.9681,-0.1679,0.4326,0.0132,6,True,0.0419
pg,Health,8,5.0,0.2149,-0.2708,-0.9613,0.4196,0.8259,0.3845,4,True,0.437
pg,Legal,7,5.0,0.2099,-0.4571,-1.1386,0.2243,0.7368,0.1518,5,True,0.2884
pg,Physical,6,4.0,0.1913,-0.7917,-1.0496,-0.5337,0.2458,0.0005,6,True,0.0035
pg,Rank,7,3.5,0.1875,-0.5476,-1.0076,-0.0876,0.4973,0.0269,6,True,0.0729
pg,Status,8,2.0,0.1562,-0.625,-1.247,-0.003,0.744,0.0492,6,True,0.1141
pg,Wealth,8,5.0,0.2199,-0.7643,-1.0669,-0.4617,0.362,0.0006,8,True,0.0035
