mode,scale,n_models,n_discordant_median,disc_frac,bias,lo,hi,sd_models,p_t,n_negative,testable,q_bh
ctl,group,7,13.0,0.185,-0.6257,-0.9225,-0.329,0.3208,0.0021,7,True,0.0126
ctl,individual,8,10.5,0.1766,-0.3877,-0.8907,0.1153,0.6017,0.1112,5,True,0.1851
ctl,society,8,9.0,0.1439,-0.373,-0.9252,0.1792,0.6605,0.1543,6,True,0.1851
de,group,7,5.5,0.1141,-0.654,-1.1391,-0.1688,0.5246,0.0164,5,True,0.0395
de,individual,7,9.0,0.1316,-0.3276,-1.0382,0.3831,0.7684,0.3024,5,True,0.3299
de,society,7,12.0,0.2535,-0.631,-1.048,-0.2139,0.451,0.0101,5,True,0.0303
he,group,6,2.0,0.0293,-0.5556,-1.4028,0.2917,0.8074,0.1527,5,True,0.1851
he,individual,6,2.0,0.0293,-0.9167,-1.1309,-0.7025,0.2041,0.0001,6,True,0.0013
he,society,7,2.0,0.0314,-0.2381,-0.9658,0.4896,0.7868,0.4539,3,True,0.4539
pg,group,7,9.5,0.1645,-0.5495,-1.0335,-0.0654,0.5234,0.0321,5,True,0.0642
pg,individual,7,9.0,0.1516,-0.4417,-1.1031,0.2198,0.7152,0.1534,6,True,0.1851
pg,society,8,14.0,0.2368,-0.5406,-0.9067,-0.1745,0.4379,0.0101,7,True,0.0303
