mode,standing,n_models,n_discordant_median,disc_frac,bias,lo,hi,sd_models,p_t,n_negative,testable,q_bh
ctl,high,8,13.0,0.2008,-0.3694,-0.9138,0.1751,0.6512,0.1527,6,True,0.2133
ctl,low,8,11.0,0.1888,-0.353,-0.9362,0.2303,0.6976,0.1955,5,True,0.2133
ctl,med,8,7.0,0.1161,-0.4931,-0.9644,-0.0217,0.5638,0.0426,6,True,0.1279
de,high,7,11.5,0.1837,-0.5275,-1.187,0.1321,0.7132,0.0981,5,True,0.1682
de,low,7,11.5,0.1899,-0.6317,-0.9984,-0.2651,0.3965,0.0056,6,True,0.0449
de,med,7,3.5,0.1259,-0.483,-1.237,0.271,0.8153,0.1681,5,True,0.2133
he,high,7,3.5,0.0528,-0.4667,-1.2167,0.2834,0.811,0.1787,5,True,0.2133
he,low,6,1.5,0.0254,-0.6944,-1.263,-0.1259,0.5418,0.0257,5,True,0.1027
he,med,4,0.5,0.0118,0.0,-1.8374,1.8374,1.1547,1.0,2,True,1.0
pg,high,8,14.5,0.2199,-0.5007,-1.0586,0.0571,0.6673,0.0715,7,True,0.1599
pg,low,7,10.5,0.168,-0.6231,-1.0085,-0.2377,0.4167,0.0075,6,True,0.0449
pg,med,7,9.5,0.165,-0.4561,-0.9863,0.0741,0.5733,0.0799,5,True,0.1599
