group,lang,language,n_models,odds_ratio,boot_lo,boot_hi,boot_p,boot_q,perm_p,perm_q
he,de,German,24,0.632222009644847,0.44226085341127824,0.8463414940543786,0.002,0.014,0.005598880223955209,0.019596080783843232
he,pt,Portuguese,24,0.8976030224866343,0.48241027013591226,1.42929841700269,0.61,0.968,0.5030993801239753,0.8804239152169567
he,es,Spanish,24,0.9793017338622646,0.5796292333757503,1.527338125239403,0.908,0.968,0.9030193961207759,0.9246150769846031
he,sw,Swahili,22,1.2815211013493377,0.8646685578970739,1.9284223708791668,0.218,0.5086666666666667,0.15816836632673464,0.3690595214290475
he,zh,Chinese,24,0.9837564198953779,0.6337759717418342,1.4513488467651303,0.968,0.968,0.9246150769846031,0.9246150769846031
he,fr,French,24,1.056105575823563,0.746597029633856,1.4983226590764274,0.71,0.968,0.739252149570086,0.9246150769846031
he,hi,Hindi,24,1.60826572235254,1.116844425119788,2.591149864695031,0.008,0.028,0.005398920215956809,0.019596080783843232
de,de,German,24,0.7391940849706744,0.5828831343792663,0.9162677855972178,0.008,0.028,0.0005998800239952009,0.0020995800839832034
de,pt,Portuguese,24,0.9619954417374686,0.8091656894203716,1.130781575795637,0.69,0.758,0.6618676264747051,0.7346530693861227
de,es,Spanish,24,0.8439969114043001,0.7014904495615719,1.0151112552418116,0.08,0.11200000000000002,0.05698860227954409,0.09973005398920215
de,sw,Swahili,22,0.9684416652442875,0.7874180272327127,1.192418239105569,0.758,0.758,0.7346530693861227,0.7346530693861227
de,zh,Chinese,24,0.813189805888373,0.6587888917289649,0.9952255480295875,0.048,0.08750000000000001,0.01999600079984003,0.04665733519962673
de,fr,French,24,0.8550353969888911,0.734236639133616,0.9985832489476603,0.05,0.08750000000000001,0.07978404319136173,0.11169766046790644
de,hi,Hindi,24,1.388419363559409,1.1565823311180639,1.661996727750174,0.002,0.014,0.0005998800239952009,0.0020995800839832034
pg,de,German,24,0.9176495138033904,0.7850759943416398,1.0706637402570607,0.304,0.644,0.1845630873825235,0.43064720389255484
pg,pt,Portuguese,24,1.0295643621931232,0.9031401661772531,1.1825146934558963,0.614,0.8596,0.6576684663067387,0.8804239152169567
pg,es,Spanish,24,1.0090618447721238,0.8931237457682906,1.1460950177397724,0.936,0.936,0.891621675664867,0.891621675664867
pg,sw,Swahili,22,0.927998852108216,0.7758416567358852,1.0936590198189935,0.368,0.644,0.26514697060587883,0.46400719856028794
pg,zh,Chinese,24,0.9800390353817174,0.8427762445004647,1.1401883856329758,0.796,0.9286666666666666,0.7546490701859628,0.8804239152169567
pg,fr,French,24,1.2170820975691519,1.0842982525776625,1.3667472622416157,0.0,0.0,0.0033993201359728054,0.011897620475904818
pg,hi,Hindi,24,1.265474453981196,1.105485552615424,1.4573088001992756,0.002,0.007,0.0005998800239952009,0.004199160167966407
control,de,German,24,0.8960278037147353,0.778175976355217,1.028724076704452,0.132,0.462,0.11157768446310738,0.39052189562087586
control,pt,Portuguese,24,1.0137098360759742,0.8758183384372754,1.162739824662009,0.872,0.962,0.8416316736652669,0.9448110377924415
control,es,Spanish,24,0.9929903019913331,0.8670576606308549,1.142968170176907,0.876,0.962,0.9184163167366527,0.9448110377924415
control,sw,Swahili,22,0.972243920378792,0.8120478550356952,1.172746773676841,0.752,0.962,0.6930613877224555,0.9448110377924415
control,zh,Chinese,24,0.7247939058949406,0.598674084027719,0.8790523947969028,0.0,0.0,0.0003999200159968006,0.0027994401119776045
control,fr,French,24,1.0044975584960243,0.8678253014431588,1.178571872823792,0.962,0.962,0.9448110377924415,0.9448110377924415
control,hi,Hindi,24,1.0393934445590465,0.8727939282165613,1.24178556563418,0.686,0.962,0.5740851829634073,0.9448110377924415
power_shifting,de,German,24,0.8411365392361003,0.7445939935428868,0.9344003666281662,0.002,0.007,0.0007998400319936012,0.0027994401119776045
power_shifting,pt,Portuguese,24,0.9951590633221503,0.9010065756870405,1.1006765020826557,0.95,0.95,0.913617276544691,0.9136172765446909
power_shifting,es,Spanish,24,0.9505981676153616,0.8620636255782154,1.040842213769105,0.296,0.4144,0.28534293141371725,0.39948010397920414
power_shifting,sw,Swahili,22,0.9716726257467905,0.8621784038976452,1.0893369249244051,0.6,0.7000000000000001,0.5442911417716457,0.63500633206692
power_shifting,zh,Chinese,24,0.9251374905652899,0.8267083050959761,1.0306575070917938,0.162,0.34650000000000003,0.10097980403919216,0.23561954275811503
power_shifting,fr,French,24,1.0657101473189132,0.9693664117535307,1.160838854467779,0.198,0.34650000000000003,0.17436512697460507,0.30513897220555886
power_shifting,hi,Hindi,24,1.3126635042543093,1.1841150497478683,1.4607532176055142,0.0,0.0,0.0001999600079984003,0.0013997200559888023
