set,mode,n_models,n_discordant_median,null_expected_mean,excess,lo,hi,t,p_t,n_excess_positive,q_bh
us_cn,he,24,11.0,0.27130567829832825,0.05887709949796865,-0.061824447464849226,0.17957864646078653,1.0090720709105065,0.32343867476933563,13,0.43125156635911416
us_cn,de,24,24.5,0.17168624627437593,0.16437341143993842,0.07249697296597565,0.2562498499139012,3.700973983902666,0.0011784701994398742,19,0.004713880797759497
us_cn,pg,24,28.0,0.16554592399123905,0.12291576761592264,0.042440796085849414,0.20339073914599587,3.159623834401203,0.004380954792131028,19,0.008761909584262055
us_cn,control,24,19.0,0.19752498237843008,0.023262602724561116,-0.07455013685500393,0.12107534230412616,0.4919845857622,0.627393277624738,11,0.627393277624738
allies,he,24,13.0,0.25117547596712103,-0.0008535867579320735,-0.08947946798496245,0.08777229446909832,-0.019923962599883906,0.9842758676900839,11,0.9842758676900839
allies,de,24,26.5,0.17381406894745055,0.08288654422575802,-0.008265671582031148,0.17403876003354718,1.8810719958307078,0.07268188871678118,13,0.14536377743356235
allies,pg,24,31.0,0.16551567680193105,0.0780953118990493,0.011634477103378046,0.14455614669472056,2.430791936253861,0.023272225930729733,14,0.09308890372291893
allies,control,24,18.5,0.20107017756527057,-0.03799646758837714,-0.10517475668393098,0.029181821507176707,-1.1700459017932818,0.2539643657292878,8,0.3386191543057171
neutral,he,24,11.5,0.29531581203142804,-0.06649628482374294,-0.13188820571923598,-0.0011043639282499046,-2.103593896332679,0.04655302154827751,7,0.18621208619311003
neutral,de,23,22.0,0.1814762867766887,0.06109036213769726,-0.023874989842894274,0.1460557141182888,1.4911214252936247,0.15012983559277696,15,0.3002596711855539
neutral,pg,24,23.0,0.17908996134741528,-0.011634299641525467,-0.0631038488053452,0.03983524952229426,-0.46760429975274237,0.6444678383116843,8,0.8296883004990079
neutral,control,24,15.0,0.22635687831401205,-0.009257858515478537,-0.09728457098007826,0.07876885394912117,-0.21756281630907506,0.8296883004990079,10,0.8296883004990079
