fit,term,estimate,se,z,p,sd_prompt,sd_model,sd_model_slope,cor_model_int_slope,slope_name,singular,messages,optimizer,formula_used,variant,loglik,nobs,n_prompts,n_models,term_interest,error,set,mode,lme4_version,r_version
side__us_cn_he,(Intercept),-4.12276661276181,0.300235239058753,-13.7317878663638,6.5497079388952295e-43,1.87001526358594,1.22534066670608,0.232062756033328,,side,False,,bobyqa,refuse ~ side + (1 + side || model) + (1 | prompt_id),1,-1745.70278761648,9216,192,24,side,,us_cn,he,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
side__us_cn_he,side,-0.219460364833521,0.106994379433612,-2.05113919063096,0.040253393719767,1.87001526358594,1.22534066670608,0.232062756033328,,side,False,,bobyqa,refuse ~ side + (1 + side || model) + (1 | prompt_id),1,-1745.70278761648,9216,192,24,side,,us_cn,he,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
side__us_cn_de,(Intercept),-2.19073307665995,0.360404426517,-6.07854098195051,1.21280988045642e-09,1.92417771005688,1.61023657360771,0.356725546228427,,side,False,,bobyqa,refuse ~ side + (1 + side || model) + (1 | prompt_id),1,-3223.64203486633,9214,192,24,side,,us_cn,de,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
side__us_cn_de,side,0.112670641691227,0.100394885701022,1.12227471453837,0.261745653688156,1.92417771005688,1.61023657360771,0.356725546228427,,side,False,,bobyqa,refuse ~ side + (1 + side || model) + (1 | prompt_id),1,-3223.64203486633,9214,192,24,side,,us_cn,de,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
side__us_cn_pg,(Intercept),-1.53359729543676,0.359244354572313,-4.2689530842107,1.96392567291543e-05,2.19153931707677,1.56623255302112,0.287208796834987,,side,False,,bobyqa,refuse ~ side + (1 + side || model) + (1 | prompt_id),1,-3554.83818868639,9213,192,24,side,,us_cn,pg,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
side__us_cn_pg,side,0.12985007832419,0.0863987507739041,1.50291615516517,0.132860666506253,2.19153931707677,1.56623255302112,0.287208796834987,,side,False,,bobyqa,refuse ~ side + (1 + side || model) + (1 | prompt_id),1,-3554.83818868639,9213,192,24,side,,us_cn,pg,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
side__us_cn_control,(Intercept),-2.29604453199069,0.363747240687473,-6.31219779881002,2.75100298574405e-10,2.69871854196538,1.47534922645495,0.110639101142009,,side,False,,bobyqa,refuse ~ side + (1 + side || model) + (1 | prompt_id),1,-2948.01275887258,9213,192,24,side,,us_cn,control,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
side__us_cn_control,side,-0.0402708229089784,0.0728405211534637,-0.552862915740732,0.580357282699745,2.69871854196538,1.47534922645495,0.110639101142009,,side,False,,bobyqa,refuse ~ side + (1 + side || model) + (1 | prompt_id),1,-2948.01275887258,9213,192,24,side,,us_cn,control,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
side__allies_he,(Intercept),-4.02486735623838,0.282610771583698,-14.2417337233247,5.04594819876404e-46,1.98282333707157,1.12302518046002,0.0,,side,True,boundary (singular) fit: see help('isSingular'),bobyqa,refuse ~ side + (1 + side || model) + (1 | prompt_id),1,-1870.82660975224,9215,192,24,side,,allies,he,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
side__allies_he,side,-0.133511330543049,0.0906091796732703,-1.47348570006351,0.140620116925521,1.98282333707157,1.12302518046002,0.0,,side,True,boundary (singular) fit: see help('isSingular'),bobyqa,refuse ~ side + (1 + side || model) + (1 | prompt_id),1,-1870.82660975224,9215,192,24,side,,allies,he,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
side__allies_de,(Intercept),-2.18717747228131,0.354621838561124,-6.16763333345677,6.931965515681651e-10,1.92050362773431,1.58219027992176,0.0,,side,True,boundary (singular) fit: see help('isSingular'),bobyqa,refuse ~ side + (1 + side || model) + (1 | prompt_id),1,-3254.59195124792,9213,192,24,side,,allies,de,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
