set,mode,n_models,n_discordant_median,null_expected_mean,excess,lo,hi,t,p_t,n_excess_positive,q_bh
us_cn,he,24,11.0,0.27130567829832825,0.05887709949796865,-0.06182444746484878,0.17957864646078608,1.0090720709105065,0.32343867476933574,13,0.4312515663591143
us_cn,de,24,24.5,0.17168624627437593,0.16437341143993844,0.07249697296597603,0.2562498499139009,3.700973983902666,0.0011784701994398716,19,0.004713880797759486
us_cn,pg,24,28.0,0.165545923991239,0.1229157676159227,0.042440796085849775,0.20339073914599562,3.159623834401205,0.004380954792131017,19,0.008761909584262035
us_cn,control,24,19.0,0.19752498237843005,0.023262602724561127,-0.07455013685500354,0.1210753423041258,0.49198458576220033,0.627393277624738,11,0.627393277624738
allies,he,24,13.0,0.25117547596712103,-0.0008535867579320561,-0.08947946798496208,0.08777229446909797,-0.0199239625998835,0.9842758676900842,11,0.9842758676900842
allies,de,24,26.5,0.17381406894745055,0.08288654422575804,-0.008265671582030773,0.17403876003354685,1.8810719958307085,0.07268188871678104,13,0.14536377743356207
allies,pg,24,31.0,0.16551567680193105,0.07809531189904931,0.011634477103378324,0.14455614669472028,2.430791936253861,0.023272225930729758,14,0.09308890372291903
allies,control,24,18.5,0.20107017756527057,-0.037996467588377124,-0.10517475668393073,0.02918182150717647,-1.1700459017932812,0.25396436572928827,8,0.3386191543057177
neutral,he,24,11.5,0.29531581203142804,-0.06649628482374294,-0.1318882057192357,-0.0011043639282501544,-2.1035938963326792,0.0465530215482775,7,0.18621208619311
neutral,de,23,22.0,0.18147628677668867,0.06109036213769729,-0.02387498984289381,0.14605571411828838,1.4911214252936256,0.15012983559277676,15,0.3002596711855535
neutral,pg,24,23.0,0.17908996134741528,-0.011634299641525438,-0.06310384880534496,0.039835249522294086,-0.4676042997527412,0.6444678383116851,8,0.8296883004990084
neutral,control,24,15.0,0.22635687831401205,-0.00925785851547851,-0.0972845709800779,0.07876885394912087,-0.21756281630907437,0.8296883004990084,10,0.8296883004990084
