model,origin,n_pairs,slope,intercept,r
nemotron-3.5-lightning,US,21,-0.6116946709945827,-0.33141483276815703,-0.7715338411745466
gpt-5.6-sol,US,28,-0.2205299581715193,0.06431081306194923,-0.8624435137260937
sonnet-5,US,28,-0.1658895724397783,0.12273197613349804,-0.7947766701155263
gpt-5.6-terra,US,28,-0.1524973172302794,0.08811327767417151,-0.71188219942703
gpt-5.6-luna,US,28,-0.14296929904437689,0.03840452538250272,-0.6470530227783667
deepseek-v4-pro,CN,28,-0.1396486857845597,0.09588360086327141,-0.5075322329077023
ling-3.0-flash,CN,28,-0.07695652250080569,0.03618433185827812,-0.1990395974227128
inkling,US,28,-0.07424865082857773,-0.09426090061414688,-0.23282442292868344
gemini-3.1-flash-lite,US,28,-0.048994527101231256,-0.19912613404163135,-0.17187557094375194
nemotron-3-ultra,US,28,-0.023750544339483155,-0.004098500531797384,-0.1300584664400136
gemma-4-31b,US,28,-0.0014934418149401972,-0.021009572815745736,-0.01635939954820426
grok-4.3,US,28,0.010276826352144613,-0.022172144575834864,0.042302386157678555
qwen3.8-27b,CN,28,0.014730244561582931,0.01734202601108073,0.09901795950651748
kimi-k2.6,CN,28,0.031172338073110206,0.1540589964870632,0.151387265317408
mimo-v2.5-pro,CN,28,0.036776969816288675,0.4489832822853796,0.1344213478185584
haiku-4.5,US,28,0.04801670514618599,0.22513751731709641,0.23333773949899914
minimax-m3,CN,28,0.05785221176300954,0.22844145633700488,0.32896017734660227
kimi-k3,CN,28,0.06506633025113269,0.09537252041677129,0.3554286922608525
qwen3.8-flash,CN,28,0.08500638817702565,-0.013637614017862863,0.5624453645058587
seed-2-1-turbo,CN,28,0.09174786209520991,0.2532615202460603,0.31288754750389797
glm-5.2,CN,28,0.1049202600601017,0.07579818443292552,0.5014261459561099
nova-2-lite,US,21,0.13308505507117224,-0.2681737884583896,0.2007713027844614
hy3,CN,28,0.22097205162153294,0.2150502279658303,0.5952078614689104
qwen3.7-plus,CN,28,0.2893037355773589,0.0704804923086609,0.8255993336138167
