,deepseek-v4-pro,gemini-3.1-flash-lite,gemma-4-31b,glm-5.2,gpt-5.6-luna,gpt-5.6-sol,gpt-5.6-terra,grok-4.3,haiku-4.5,hy3,inkling,kimi-k2.6,kimi-k3,ling-3.0-flash,mimo-v2.5-pro,minimax-m3,nemotron-3-ultra,qwen3.7-plus,qwen3.8-27b,qwen3.8-flash,seed-2-1-turbo,sonnet-5
deepseek-v4-pro,,0.1277023610596992,0.49102861614023624,-0.047619047619047644,0.4285714285714285,0.5714285714285713,0.7619047619047616,0.04790505047653034,0.19047619047619044,-0.3233590907165799,0.04761904761904757,0.42857142857142855,-0.09581010095306071,-0.2619047619047618,-0.0476190476190476,-0.19047619047619044,0.0838338383339282,-0.11904761904761904,0.1807360097669549,-0.20359646452525396,0.09523809523809526,0.5714285714285713
gemini-3.1-flash-lite,0.1277023610596992,,0.42796513051782203,0.3447963748611879,0.08939165274178947,0.34479637486118786,0.319255902649248,0.6937344851576953,-0.6768225136164058,-0.08992854437229382,0.03831070831790974,-0.4980392081328269,-0.06423467455163846,0.07662141663581948,-0.3192559026492481,-0.6768225136164059,0.1798570887445877,-0.12770236105969918,0.723801819911489,-0.14773975146876842,-0.8683760552059546,-0.025540472211939887
gemma-4-31b,0.49102861614023624,0.42796513051782203,,0.39282289291218897,-0.17186001564908274,-0.14730858484207088,0.15958430024557677,0.7409666452109942,-0.0982057232280472,-0.13584388495534896,-0.25779002347362406,0.4173743237192009,0.14819332904219887,-0.49102861614023613,-0.23323859266661223,-0.6628886317893189,0.21611527151987328,-0.08593000782454135,0.3354619694425377,-0.08644610860794934,-0.18413573105258857,-0.3068928850876476
glm-5.2,-0.047619047619047644,0.3447963748611879,0.39282289291218897,,-0.11904761904761901,-0.047619047619047616,0.04761904761904759,0.5868368683374967,-0.3095238095238095,0.3233590907165798,0.1904761904761904,0.07142857142857142,0.6826469692905575,-0.6190476190476188,9.693012469943534e-18,0.04761904761904759,0.023952525238265167,0.4047619047619047,0.5422080293008648,0.3832404038122428,-0.19047619047619044,-0.5238095238095237
gpt-5.6-luna,0.4285714285714285,0.08939165274178947,-0.17186001564908274,-0.11904761904761901,,0.7380952380952379,0.8333333333333331,-0.2515015150017844,-0.3333333333333333,-0.6826469692905576,0.738095238095238,-0.047619047619047616,0.1556914140487236,0.0952380952380952,-0.09523809523809519,-0.023809523809523784,0.27545404024004955,-0.5952380952380951,-0.26507948099153394,0.01197626261913257,-0.33333333333333326,0.42857142857142844
gpt-5.6-sol,0.5714285714285713,0.34479637486118786,-0.14730858484207088,-0.047619047619047616,0.7380952380952379,,0.857142857142857,-0.08383383833392812,-0.11904761904761901,-0.16766767666785623,0.3333333333333332,-0.11904761904761904,0.08383383833392814,0.26190476190476186,0.1904761904761904,2.9663736191087513e-17,0.32335909071657987,-0.28571428571428564,0.2891776156271279,-0.347311615954845,-0.28571428571428564,0.7142857142857141
gpt-5.6-terra,0.7619047619047616,0.319255902649248,0.15958430024557677,0.04761904761904759,0.8333333333333331,0.857142857142857,,0.059881313095662914,-0.16666666666666663,-0.4790505047653035,0.4285714285714284,0.119047619047619,0.10778636357219333,0.02380952380952375,0.023809523809523805,-0.09523809523809523,0.19162020190612145,-0.3809523809523808,0.108441605860173,-0.17964393928698882,-0.28571428571428564,0.6190476190476188
grok-4.3,0.04790505047653034,0.6937344851576953,0.7409666452109942,0.5868368683374967,-0.2515015150017844,-0.08383383833392812,0.059881313095662914,,-0.2515015150017843,0.180722891566265,-0.34731161595484505,0.13173888881045845,0.36144578313253006,-0.09581010095306071,0.07185757571479559,-0.5628843430992316,0.31927710843373497,-0.09581010095306071,0.5151609764133532,-0.2710843373493975,-0.4550979795270383,-0.3832404038122428
haiku-4.5,0.19047619047619044,-0.6768225136164058,-0.0982057232280472,-0.3095238095238095,-0.3333333333333333,-0.11904761904761901,-0.16666666666666663,-0.2515015150017843,,0.47905050476530353,-0.6428571428571427,0.7142857142857142,0.035928787857397795,0.16666666666666666,0.7142857142857143,0.49999999999999994,1.2839538936309125e-17,0.19047619047619044,-0.27712854830933087,-0.45509797952703834,0.9047619047619047,0.33333333333333326
hy3,-0.3233590907165799,-0.08992854437229382,-0.13584388495534896,0.3233590907165798,-0.6826469692905576,-0.16766767666785623,-0.4790505047653035,0.180722891566265,0.47905050476530353,,-0.6107893935757618,0.10778636357219329,0.2831325301204818,0.07185757571479555,0.6107893935757621,0.3952166664313754,0.024096385542168683,0.610789393575762,0.4606145200872334,-0.253012048192771,0.40719292905050797,-0.11976262619132587
