block,column,n_rows,max_abs_diff,identical
74 (24 models),odds_ratio,5,2.220446049250313e-16,True
74 (24 models),boot_lo,5,0.0,True
74 (24 models),boot_hi,5,2.220446049250313e-16,True
74 (24 models),boot_p,5,0.0,True
74 (24 models),boot_q,5,0.0,True
74 (24 models),perm_p,5,1.734723475976807e-17,True
74 (24 models),perm_q,5,4.0766001685454967e-17,True
74 (24 models),rate_human,5,0.0,True
74 (24 models),rate_ai,5,3.552713678800501e-15,True
74 (24 models),pp,5,0.0,True
74 (by origin),odds_ratio,10,0.0,True
74 (by origin),boot_lo,10,2.220446049250313e-16,True
74 (by origin),boot_hi,10,4.440892098500626e-16,True
74 (by origin),boot_p,10,0.0,True
74 (by origin),boot_q,10,2.7755575615628914e-17,True
74 (by origin),perm_p,10,8.326672684688674e-17,True
74 (by origin),perm_q,10,8.326672684688674e-17,True
74 (by origin),rate_human,10,1.7763568394002505e-15,True
74 (by origin),rate_ai,10,3.552713678800501e-15,True
74 (by origin),pp,10,2.220446049250313e-16,True
