n,E0,approx_sqrt,pctl_97_5
1,1.0,0.7979,1.0
2,0.5,0.5642,1.0
3,0.5,0.4607,1.0
4,0.375,0.3989,1.0
5,0.375,0.3568,1.0
6,0.3125,0.3257,0.6667
7,0.3125,0.3016,0.7143
8,0.2734,0.2821,0.75
9,0.2734,0.266,0.5556
10,0.2461,0.2523,0.6
11,0.2461,0.2406,0.6364
12,0.2256,0.2303,0.5
13,0.2256,0.2213,0.5385
14,0.2095,0.2132,0.5714
15,0.2095,0.206,0.4667
16,0.1964,0.1995,0.5
17,0.1964,0.1935,0.4118
18,0.1855,0.1881,0.4444
19,0.1855,0.183,0.4737
20,0.1762,0.1784,0.4
21,0.1762,0.1741,0.4286
22,0.1682,0.1701,0.4545
23,0.1682,0.1664,0.3913
24,0.1612,0.1629,0.4167
25,0.1612,0.1596,0.36
26,0.155,0.1565,0.3846
27,0.155,0.1536,0.4074
28,0.1494,0.1508,0.3571
29,0.1494,0.1482,0.3793
30,0.1445,0.1457,0.3333
31,0.1445,0.1433,0.3548
32,0.1399,0.141,0.375
33,0.1399,0.1389,0.3333
34,0.1358,0.1368,0.3529
35,0.1358,0.1349,0.3143
36,0.1321,0.133,0.3333
37,0.1321,0.1312,0.2973
38,0.1286,0.1294,0.3158
39,0.1286,0.1278,0.3333
40,0.1254,0.1262,0.3
41,0.1254,0.1246,0.3171
42,0.1224,0.1231,0.2857
43,0.1224,0.1217,0.3023
44,0.1196,0.1203,0.2727
45,0.1196,0.1189,0.2889
46,0.117,0.1176,0.3043
47,0.117,0.1164,0.2766
48,0.1146,0.1152,0.2917
49,0.1146,0.114,0.2653
50,0.1123,0.1128,0.28
51,0.1123,0.1117,0.2549
52,0.1101,0.1106,0.2692
53,0.1101,0.1096,0.283
54,0.1081,0.1086,0.2593
55,0.1081,0.1076,0.2727
56,0.1061,0.1066,0.25
57,0.1061,0.1057,0.2632
58,0.1043,0.1048,0.2414
59,0.1043,0.1039,0.2542
60,0.1026,0.103,0.2667
61,0.1026,0.1022,0.2459
62,0.1009,0.1013,0.2581
63,0.1009,0.1005,0.2381
64,0.0993,0.0997,0.25
65,0.0993,0.099,0.2308
66,0.0978,0.0982,0.2424
67,0.0978,0.0975,0.2239
68,0.0964,0.0968,0.2353
69,0.0964,0.0961,0.2464
70,0.095,0.0954,0.2286
