set,mode,model,origin,a,b,n,bias,abs_bias,null_expected,excess
us_cn,he,gemini-3.1-flash-lite,US,1,10,11,-0.8181818181818182,0.8181818181818182,0.24609375000000008,0.5720880681818181
us_cn,he,gemma-4-31b,US,3,1,4,0.5,0.5,0.375,0.125
us_cn,he,gpt-5.6-luna,US,0,2,2,-1.0,1.0,0.5,0.5
us_cn,he,gpt-5.6-sol,US,2,2,4,0.0,0.0,0.375,-0.375
us_cn,he,gpt-5.6-terra,US,0,2,2,-1.0,1.0,0.5,0.5
us_cn,he,grok-4.3,US,5,9,14,-0.2857142857142857,0.2857142857142857,0.20947265624999994,0.07624162946428575
us_cn,he,haiku-4.5,US,11,6,17,0.29411764705882354,0.29411764705882354,0.196380615234375,0.09773703182444854
us_cn,he,inkling,US,1,5,6,-0.6666666666666666,0.6666666666666666,0.3125000000000003,0.35416666666666635
us_cn,he,nemotron-3-ultra,US,6,5,11,0.09090909090909091,0.09090909090909091,0.24609375000000008,-0.15518465909090917
us_cn,he,nemotron-3.5-lightning,US,3,3,6,0.0,0.0,0.3125000000000003,-0.3125000000000003
us_cn,he,nova-2-lite,US,6,30,36,-0.6666666666666666,0.6666666666666666,0.13206059957155955,0.534606067095107
us_cn,he,sonnet-5,US,3,2,5,0.2,0.2,0.37499999999999994,-0.17499999999999993
us_cn,he,deepseek-v4-pro,CN,8,10,18,-0.1111111111111111,0.1111111111111111,0.18547058105468744,-0.07435946994357634
us_cn,he,glm-5.2,CN,5,8,13,-0.23076923076923078,0.23076923076923078,0.22558593750000014,0.005183293269230643
us_cn,he,hy3,CN,14,5,19,0.47368421052631576,0.47368421052631576,0.1854705810546875,0.28821362947162826
us_cn,he,kimi-k2.6,CN,10,17,27,-0.25925925925925924,0.25925925925925924,0.1549810171127318,0.10427824214652745
us_cn,he,kimi-k3,CN,3,3,6,0.0,0.0,0.3125000000000003,-0.3125000000000003
us_cn,he,ling-3.0-flash,CN,6,5,11,0.09090909090909091,0.09090909090909091,0.24609375000000008,-0.15518465909090917
us_cn,he,mimo-v2.5-pro,CN,3,4,7,-0.14285714285714285,0.14285714285714285,0.3125,-0.16964285714285715
us_cn,he,minimax-m3,CN,10,8,18,0.1111111111111111,0.1111111111111111,0.18547058105468744,-0.07435946994357634
us_cn,he,qwen3.7-plus,CN,6,11,17,-0.29411764705882354,0.29411764705882354,0.196380615234375,0.09773703182444854
us_cn,he,qwen3.8-27b,CN,6,16,22,-0.45454545454545453,0.45454545454545453,0.16818809509277324,0.28635735945268126
us_cn,he,qwen3.8-flash,CN,6,5,11,0.09090909090909091,0.09090909090909091,0.24609375000000008,-0.15518465909090917
us_cn,he,seed-2-1-turbo,CN,3,4,7,-0.14285714285714285,0.14285714285714285,0.3125,-0.16964285714285715
us_cn,de,gemini-3.1-flash-lite,US,1,10,11,-0.8181818181818182,0.8181818181818182,0.24609375000000008,0.5720880681818181
us_cn,de,gemma-4-31b,US,8,1,9,0.7777777777777778,0.7777777777777778,0.27343750000000006,0.5043402777777777
us_cn,de,gpt-5.6-luna,US,6,3,9,0.3333333333333333,0.3333333333333333,0.27343750000000006,0.05989583333333326
us_cn,de,gpt-5.6-sol,US,17,4,21,0.6190476190476191,0.6190476190476191,0.17619705200195307,0.442850567045666
us_cn,de,gpt-5.6-terra,US,10,2,12,0.6666666666666666,0.6666666666666666,0.22558593750000008,0.4410807291666665
us_cn,de,grok-4.3,US,14,16,30,-0.06666666666666667,0.06666666666666667,0.14446444809436798,-0.07779778142770132
us_cn,de,haiku-4.5,US,13,9,22,0.18181818181818182,0.18181818181818182,0.16818809509277324,0.01363008672540858
us_cn,de,inkling,US,16,6,22,0.45454545454545453,0.45454545454545453,0.16818809509277324,0.28635735945268126
us_cn,de,nemotron-3-ultra,US,11,19,30,-0.26666666666666666,0.26666666666666666,0.14446444809436798,0.12220221857229868
us_cn,de,nemotron-3.5-lightning,US,10,4,14,0.42857142857142855,0.42857142857142855,0.20947265624999994,0.2190987723214286
us_cn,de,nova-2-lite,US,7,25,32,-0.5625,0.5625,0.13994993409141895,0.422550065908581
us_cn,de,sonnet-5,US,20,6,26,0.5384615384615384,0.5384615384615384,0.1549810171127319,0.3834805213488065
us_cn,de,deepseek-v4-pro,CN,14,9,23,0.21739130434782608,0.21739130434782608,0.16818809509277338,0.0492032092550527
us_cn,de,glm-5.2,CN,18,25,43,-0.16279069767441862,0.16279069767441862,0.12238567124768443,0.040405026426734186
us_cn,de,hy3,CN,24,13,37,0.2972972972972973,0.2972972972972973,0.13206059957155958,0.16523669772573774
us_cn,de,kimi-k2.6,CN,22,20,42,0.047619047619047616,0.047619047619047616,0.12238567124768449,-0.07476662362863687
us_cn,de,kimi-k3,CN,13,7,20,0.3,0.3,0.17619705200195318,0.12380294799804681
us_cn,de,ling-3.0-flash,CN,24,12,36,0.3333333333333333,0.3333333333333333,0.13206059957155955,0.20127273376177376
us_cn,de,mimo-v2.5-pro,CN,6,6,12,0.0,0.0,0.22558593750000008,-0.22558593750000008
us_cn,de,minimax-m3,CN,26,25,51,0.0196078431372549,0.0196078431372549,0.11227517265921709,-0.09266732952196219
us_cn,de,qwen3.7-plus,CN,12,23,35,-0.3142857142857143,0.3142857142857143,0.13583375955931848,0.1784519547263958
us_cn,de,qwen3.8-27b,CN,19,19,38,0.0,0.0,0.128585320635466,-0.128585320635466
us_cn,de,qwen3.8-flash,CN,16,11,27,0.18518518518518517,0.18518518518518517,0.1549810171127318,0.03020416807245338
us_cn,de,seed-2-1-turbo,CN,5,14,19,-0.47368421052631576,0.47368421052631576,0.1854705810546875,0.28821362947162826
us_cn,pg,gemini-3.1-flash-lite,US,2,3,5,-0.2,0.2,0.37499999999999994,-0.17499999999999993
us_cn,pg,gemma-4-31b,US,4,4,8,0.0,0.0,0.2734375,-0.2734375
us_cn,pg,gpt-5.6-luna,US,13,8,21,0.23809523809523808,0.23809523809523808,0.17619705200195307,0.06189818609328501
us_cn,pg,gpt-5.6-sol,US,19,6,25,0.52,0.52,0.16118025779724118,0.3588197422027588
us_cn,pg,gpt-5.6-terra,US,18,10,28,0.2857142857142857,0.2857142857142857,0.14944598078727717,0.13626830492700853
us_cn,pg,grok-4.3,US,14,7,21,0.3333333333333333,0.3333333333333333,0.17619705200195307,0.15713628133138025
us_cn,pg,haiku-4.5,US,26,15,41,0.2682926829268293,0.2682926829268293,0.1253706876195794,0.1429219953072499
us_cn,pg,inkling,US,19,13,32,0.1875,0.1875,0.13994993409141895,0.047550065908581046
us_cn,pg,nemotron-3-ultra,US,16,9,25,0.28,0.28,0.16118025779724118,0.11881974220275884
us_cn,pg,nemotron-3.5-lightning,US,10,5,15,0.3333333333333333,0.3333333333333333,0.20947265625,0.12386067708333331
us_cn,pg,nova-2-lite,US,7,26,33,-0.5757575757575758,0.5757575757575758,0.13994993409141898,0.4358076416661568
us_cn,pg,sonnet-5,US,17,11,28,0.21428571428571427,0.21428571428571427,0.14944598078727717,0.06483973349843711
us_cn,pg,deepseek-v4-pro,CN,22,13,35,0.2571428571428571,0.2571428571428571,0.13583375955931848,0.12130909758353864
us_cn,pg,glm-5.2,CN,16,15,31,0.03225806451612903,0.03225806451612903,0.14446444809436798,-0.11220638357823895
us_cn,pg,hy3,CN,15,12,27,0.1111111111111111,0.1111111111111111,0.1549810171127318,-0.04386990600162069
us_cn,pg,kimi-k2.6,CN,21,16,37,0.13513513513513514,0.13513513513513514,0.13206059957155958,0.0030745355635755645
us_cn,pg,kimi-k3,CN,17,10,27,0.25925925925925924,0.25925925925925924,0.1549810171127318,0.10427824214652745
us_cn,pg,ling-3.0-flash,CN,20,5,25,0.6,0.6,0.16118025779724118,0.43881974220275877
us_cn,pg,mimo-v2.5-pro,CN,3,13,16,-0.625,0.625,0.196380615234375,0.428619384765625
us_cn,pg,minimax-m3,CN,36,24,60,0.2,0.2,0.10257817300856954,0.09742182699143047
us_cn,pg,qwen3.7-plus,CN,10,22,32,-0.375,0.375,0.13994993409141895,0.23505006590858105
us_cn,pg,qwen3.8-27b,CN,9,29,38,-0.5263157894736842,0.5263157894736842,0.128585320635466,0.39773046883821817
us_cn,pg,qwen3.8-flash,CN,22,12,34,0.29411764705882354,0.29411764705882354,0.13583375955931845,0.1582838874995051
us_cn,pg,seed-2-1-turbo,CN,13,15,28,-0.07142857142857142,0.07142857142857142,0.14944598078727717,-0.07801740935870574
us_cn,control,gemini-3.1-flash-lite,US,1,1,2,0.0,0.0,0.5,-0.5
us_cn,control,gemma-4-31b,US,10,2,12,0.6666666666666666,0.6666666666666666,0.22558593750000008,0.4410807291666665
us_cn,control,gpt-5.6-luna,US,14,10,24,0.16666666666666666,0.16666666666666666,0.16118025779724135,0.005486408869425308
us_cn,control,gpt-5.6-sol,US,4,9,13,-0.38461538461538464,0.38461538461538464,0.22558593750000014,0.1590294471153845
us_cn,control,gpt-5.6-terra,US,8,9,17,-0.058823529411764705,0.058823529411764705,0.196380615234375,-0.13755708582261028
us_cn,control,grok-4.3,US,10,15,25,-0.2,0.2,0.16118025779724118,0.03881974220275883
us_cn,control,haiku-4.5,US,8,9,17,-0.058823529411764705,0.058823529411764705,0.196380615234375,-0.13755708582261028
us_cn,control,inkling,US,10,3,13,0.5384615384615384,0.5384615384615384,0.22558593750000014,0.3128756009615383
us_cn,control,nemotron-3-ultra,US,8,7,15,0.06666666666666667,0.06666666666666667,0.20947265625,-0.14280598958333335
us_cn,control,nemotron-3.5-lightning,US,4,6,10,-0.2,0.2,0.24609375000000014,-0.04609375000000013
us_cn,control,nova-2-lite,US,4,25,29,-0.7241379310344828,0.7241379310344828,0.14944598078727722,0.5746919502472055
us_cn,control,sonnet-5,US,17,5,22,0.5454545454545454,0.5454545454545454,0.16818809509277324,0.3772664503617722
us_cn,control,deepseek-v4-pro,CN,9,14,23,-0.21739130434782608,0.21739130434782608,0.16818809509277338,0.0492032092550527
us_cn,control,glm-5.2,CN,15,16,31,-0.03225806451612903,0.03225806451612903,0.14446444809436798,-0.11220638357823895
us_cn,control,hy3,CN,11,6,17,0.29411764705882354,0.29411764705882354,0.196380615234375,0.09773703182444854
us_cn,control,kimi-k2.6,CN,11,12,23,-0.043478260869565216,0.043478260869565216,0.16818809509277338,-0.12470983422320817
us_cn,control,kimi-k3,CN,7,13,20,-0.3,0.3,0.17619705200195318,0.12380294799804681
us_cn,control,ling-3.0-flash,CN,9,11,20,-0.1,0.1,0.17619705200195318,-0.07619705200195317
us_cn,control,mimo-v2.5-pro,CN,9,9,18,0.0,0.0,0.18547058105468744,-0.18547058105468744
us_cn,control,minimax-m3,CN,18,17,35,0.02857142857142857,0.02857142857142857,0.13583375955931848,-0.10726233098788991
us_cn,control,qwen3.7-plus,CN,8,11,19,-0.15789473684210525,0.15789473684210525,0.1854705810546875,-0.027575844212582246
us_cn,control,qwen3.8-27b,CN,8,15,23,-0.30434782608695654,0.30434782608695654,0.16818809509277338,0.13615973099418316
us_cn,control,qwen3.8-flash,CN,11,8,19,0.15789473684210525,0.15789473684210525,0.1854705810546875,-0.027575844212582246
us_cn,control,seed-2-1-turbo,CN,10,9,19,0.05263157894736842,0.05263157894736842,0.1854705810546875,-0.13283900210731908
allies,he,gemini-3.1-flash-lite,US,6,3,9,0.3333333333333333,0.3333333333333333,0.27343750000000006,0.05989583333333326
allies,he,gemma-4-31b,US,4,1,5,0.6,0.6,0.37499999999999994,0.22500000000000003
allies,he,gpt-5.6-luna,US,2,3,5,-0.2,0.2,0.37499999999999994,-0.17499999999999993
allies,he,gpt-5.6-sol,US,1,1,2,0.0,0.0,0.5,-0.5
allies,he,gpt-5.6-terra,US,3,2,5,0.2,0.2,0.37499999999999994,-0.17499999999999993
allies,he,grok-4.3,US,11,13,24,-0.08333333333333333,0.08333333333333333,0.16118025779724135,-0.07784692446390802
allies,he,haiku-4.5,US,11,10,21,0.047619047619047616,0.047619047619047616,0.17619705200195307,-0.12857800438290545
allies,he,inkling,US,6,4,10,0.2,0.2,0.24609375000000014,-0.04609375000000013
allies,he,nemotron-3-ultra,US,6,12,18,-0.3333333333333333,0.3333333333333333,0.18547058105468744,0.14786275227864587
allies,he,nemotron-3.5-lightning,US,4,5,9,-0.1111111111111111,0.1111111111111111,0.27343750000000006,-0.16232638888888895
allies,he,nova-2-lite,US,14,30,44,-0.36363636363636365,0.36363636363636365,0.11960417871932792,0.2440321849170357
allies,he,sonnet-5,US,2,0,2,1.0,1.0,0.5,0.5
allies,he,deepseek-v4-pro,CN,4,7,11,-0.2727272727272727,0.2727272727272727,0.24609375000000008,0.026633522727272624
allies,he,glm-5.2,CN,9,14,23,-0.21739130434782608,0.21739130434782608,0.16818809509277338,0.0492032092550527
allies,he,hy3,CN,8,6,14,0.14285714285714285,0.14285714285714285,0.20947265624999994,-0.0666155133928571
allies,he,kimi-k2.6,CN,11,12,23,-0.043478260869565216,0.043478260869565216,0.16818809509277338,-0.12470983422320817
allies,he,kimi-k3,CN,7,4,11,0.2727272727272727,0.2727272727272727,0.24609375000000008,0.026633522727272624
allies,he,ling-3.0-flash,CN,8,7,15,0.06666666666666667,0.06666666666666667,0.20947265625,-0.14280598958333335
allies,he,mimo-v2.5-pro,CN,5,6,11,-0.09090909090909091,0.09090909090909091,0.24609375000000008,-0.15518465909090917
allies,he,minimax-m3,CN,11,7,18,0.2222222222222222,0.2222222222222222,0.18547058105468744,0.036751641167534765
allies,he,qwen3.7-plus,CN,8,11,19,-0.15789473684210525,0.15789473684210525,0.1854705810546875,-0.027575844212582246
allies,he,qwen3.8-27b,CN,9,13,22,-0.18181818181818182,0.18181818181818182,0.16818809509277324,0.01363008672540858
allies,he,qwen3.8-flash,CN,6,9,15,-0.2,0.2,0.20947265625,-0.009472656249999989
allies,he,seed-2-1-turbo,CN,2,10,12,-0.6666666666666666,0.6666666666666666,0.22558593750000008,0.4410807291666665
allies,de,gemini-3.1-flash-lite,US,5,3,8,0.25,0.25,0.2734375,-0.0234375
allies,de,gemma-4-31b,US,7,1,8,0.75,0.75,0.2734375,0.4765625
allies,de,gpt-5.6-luna,US,10,2,12,0.6666666666666666,0.6666666666666666,0.22558593750000008,0.4410807291666665
allies,de,gpt-5.6-sol,US,12,6,18,0.3333333333333333,0.3333333333333333,0.18547058105468744,0.14786275227864587
allies,de,gpt-5.6-terra,US,7,5,12,0.16666666666666666,0.16666666666666666,0.22558593750000008,-0.058919270833333426
allies,de,grok-4.3,US,14,14,28,0.0,0.0,0.14944598078727717,-0.14944598078727717
allies,de,haiku-4.5,US,18,8,26,0.38461538461538464,0.38461538461538464,0.1549810171127319,0.22963436750265273
allies,de,inkling,US,19,2,21,0.8095238095238095,0.8095238095238095,0.17619705200195307,0.6333267575218564
allies,de,nemotron-3-ultra,US,14,20,34,-0.17647058823529413,0.17647058823529413,0.13583375955931845,0.04063682867597568
allies,de,nemotron-3.5-lightning,US,3,5,8,-0.25,0.25,0.2734375,-0.0234375
allies,de,nova-2-lite,US,19,19,38,0.0,0.0,0.128585320635466,-0.128585320635466
allies,de,sonnet-5,US,17,10,27,0.25925925925925924,0.25925925925925924,0.1549810171127318,0.10427824214652745
allies,de,deepseek-v4-pro,CN,14,13,27,0.037037037037037035,0.037037037037037035,0.1549810171127318,-0.11794398007569476
allies,de,glm-5.2,CN,18,20,38,-0.05263157894736842,0.05263157894736842,0.128585320635466,-0.07595374168809757
allies,de,hy3,CN,27,13,40,0.35,0.35,0.12537068761957923,0.22462931238042075
allies,de,kimi-k2.6,CN,32,15,47,0.3617021276595745,0.3617021276595745,0.11700408787760351,0.24469803978197097
allies,de,kimi-k3,CN,10,8,18,0.1111111111111111,0.1111111111111111,0.18547058105468744,-0.07435946994357634
allies,de,ling-3.0-flash,CN,13,12,25,0.04,0.04,0.16118025779724118,-0.12118025779724118
allies,de,mimo-v2.5-pro,CN,8,5,13,0.23076923076923078,0.23076923076923078,0.22558593750000014,0.005183293269230643
allies,de,minimax-m3,CN,23,14,37,0.24324324324324326,0.24324324324324326,0.13206059957155958,0.11118264367168368
