set,mode,n_models,n_discordant_total,mean_abs_bias,null_expected_mean,excess,lo,hi,sd_models,t,p_t,n_excess_positive,n_bias_pos,n_bias_neg,q_bh_12
us_cn,he,24,294,0.33018277779629684,0.27130567829832825,0.05887709949796862,-0.061824447464848824,0.17957864646078606,0.28584450102749787,1.0090720709105059,0.32343867476933597,13,8,13,0.48515801215400395
us_cn,de,24,621,0.3360596577143144,0.17168624627437593,0.16437341143993844,0.07249697296597603,0.2562498499139009,0.2175810946305735,3.700973983902666,0.0011784701994398726,19,15,7,0.014141642393278472
us_cn,pg,24,672,0.2884616916071617,0.165545923991239,0.12291576761592267,0.04244079608584975,0.2033907391459956,0.19058022586323645,3.159623834401204,0.004380954792131024,19,17,6,0.026285728752786147
us_cn,control,24,466,0.2207875851029912,0.19752498237843005,0.02326260272456113,-0.07455013685500354,0.1210753423041258,0.23163939852292198,0.4919845857622004,0.6273932776247377,11,9,13,0.7733614059740224
allies,he,24,348,0.25032188920918896,0.25117547596712103,-0.0008535867579320735,-0.0894794679849621,0.08777229446909797,0.20988314926292273,-0.019923962599883906,0.9842758676900838,11,10,13,0.9842758676900838
allies,de,24,607,0.2567006131732086,0.17381406894745055,0.08288654422575804,-0.008265671582030773,0.17403876003354685,0.21586599592758035,1.8810719958307085,0.07268188871678104,13,18,3,0.17443653292027447
allies,pg,24,684,0.24361098870098033,0.16551567680193102,0.07809531189904931,0.011634477103378324,0.14455614669472028,0.15739205203303466,2.430791936253861,0.023272225930729758,14,15,9,0.09308890372291903
allies,control,24,432,0.16307370997689347,0.20107017756527057,-0.037996467588377124,-0.1051747566839307,0.029181821507176457,0.1590911219415848,-1.1700459017932814,0.25396436572928793,8,7,13,0.4353674841073507
neutral,he,24,280,0.2288195272076851,0.2953158120314281,-0.06649628482374297,-0.13188820571923576,-0.0011043639282501821,0.15486065812694066,-2.10359389633268,0.04655302154827741,8,7,12,0.13965906464483224
neutral,de,23,534,0.24256664891438598,0.1814762867766887,0.06109036213769728,-0.023874989842893823,0.14605571411828838,0.19648237865864362,1.4911214252936253,0.15012983559277682,15,11,10,0.30025967118555363
neutral,pg,24,571,0.16745566170588985,0.17908996134741528,-0.011634299641525426,-0.06310384880534496,0.039835249522294114,0.1218898014900707,-0.46760429975274065,0.6444678383116853,8,10,13,0.7733614059740224
neutral,control,24,379,0.2170990197985335,0.22635687831401205,-0.009257858515478537,-0.09728457098007792,0.07876885394912084,0.20846420227974102,-0.217562816309075,0.8296883004990079,10,14,7,0.9051145096352814
