dimension,level,mode,logOR,se,n_prompts,n_prompts_in,n_models,note,z,p,OR,OR_lo,OR_hi,q_bh
scale,individual,he,-0.3886522876968487,0.13787122152768172,41,64,24.0,,-2.818951506996079,0.00973625096336838,0.6779699675330112,0.5097368639931721,0.9017265757001814,0.02920875289010514
scale,individual,de,0.2346895407698303,0.08829130810703426,59,64,24.0,,2.6581273491306714,0.01404905629560435,1.264516127083082,1.0534232027106645,1.517909451337937,0.04214716888681305
scale,individual,pg,0.11689961076441244,0.07908032407796073,61,64,24.0,,1.4782388935225892,0.15290886617365487,1.1240065858645285,0.9543827300253783,1.3237779407777408,0.22936329926048232
scale,individual,control,-0.011822675106264361,0.07128045852649864,58,64,24.0,,-0.16586137842911405,0.869715388641548,0.988246938108857,0.8527596528197559,1.1452605754179102,0.869715388641548
scale,group,he,-0.21553200683012275,0.13086668357355774,51,64,24.0,,-1.6469585760456458,0.11316325134167733,0.8061124687403604,0.6149278299386634,1.056737523692,0.169744877012516
scale,group,de,0.0928176215621958,0.09505626903213263,62,64,23.0,,0.9764492390377738,0.33945755554867374,1.0972616001619726,0.9009396410178374,1.336363685618064,0.3394575555486738
scale,group,pg,0.11373358319564553,0.09486520995565685,62,64,24.0,,1.1988966582038703,0.24277496536691986,1.1204535774553597,0.9208021788283957,1.3633940580265267,0.24277496536691986
scale,group,control,-0.03019086356341161,0.06480598167753893,57,64,24.0,,-0.46586538436583,0.645693501965159,0.9702603285308853,0.8485279530596618,1.1094567971818712,0.869715388641548
scale,society,he,-0.07836134160192987,0.10277987958654437,57,64,24.0,,-0.7624190835517256,0.453558494825817,0.9246302587939148,0.7475323315772021,1.143684466026346,0.45355849482581706
scale,society,de,0.18797398474614938,0.08486248751084874,64,64,24.0,,2.2150421259112747,0.03693776220543789,1.206802119677733,1.0125000345456745,1.438391413697252,0.05540664330815683
scale,society,pg,0.152828905747137,0.09582073225947911,64,64,24.0,,1.594946126411159,0.12437482244773093,1.1651256155915712,0.9556233955274707,1.4205572053395947,0.22936329926048232
scale,society,control,-0.17209820647454252,0.07424325029130648,62,64,24.0,,-2.318031683678784,0.02969352605365753,0.8418964894223708,0.7220347065636372,0.9816559958385357,0.08908057816097259
standing,low,he,-0.3611070328249219,0.12942086206217007,48,64,24.0,,-2.7901763832438116,0.01040205220156042,0.6969044028279178,0.5332129071157435,0.9108476936690355,0.03120615660468126
standing,low,de,0.2004215329795685,0.07590485728752758,61,64,24.0,,2.6404309307950053,0.014620751151486411,1.2219177282348799,1.0443559423316076,1.4296686350453118,0.04386225345445924
standing,low,pg,0.08492194966361713,0.10192969617773978,61,64,24.0,,0.8331423799746699,0.4133329427796022,1.088632095281184,0.8816715434391805,1.344173856687542,0.4133329427796022
standing,low,control,-0.051834019748206055,0.08164153190302621,57,64,24.0,,-0.6348976867530424,0.53176086784512,0.9494864497647082,0.8019392709054841,1.1241805346043998,0.79764130176768
standing,med,he,-0.18508949280803988,0.142073262579001,45,64,24.0,,-1.302774986990387,0.20554516868415257,0.8310299093240321,0.6194084132210855,1.1149520985673296,0.3083177530262289
standing,med,de,0.07237105112469147,0.1343163604499594,61,64,24.0,,0.5388103942233744,0.5951949984854701,1.075054170125738,0.8142535213961285,1.4193877439094043,0.5951949984854701
standing,med,pg,0.199961296975956,0.08914648712252313,62,64,24.0,,2.243064235398628,0.03482214713691479,1.221355487094626,1.0156692328658654,1.46869588797828,0.10446644141074438
standing,med,control,-0.1801311886890762,0.08122740309418067,59,64,24.0,,-2.2176159993717843,0.03673868126329605,0.8351606405945956,0.7059838802374439,0.9879734015510201,0.11021604378988814
standing,high,he,-0.0789805859053358,0.09287413361715578,56,64,24.0,,-0.8504045510767105,0.4038666026817005,0.9240578640177932,0.7625361443303725,1.1197933926174355,0.40386660268170055
standing,high,de,0.2363598729971662,0.10186257869668024,63,64,24.0,,2.3203798295837696,0.029544669618374243,1.2666300541108655,1.0259726344936264,1.5637373162187014,0.04431700442756137
standing,high,pg,0.10479500447302963,0.0724132737689102,64,64,24.0,,1.4471794882172853,0.16133997963116573,1.1104829429850174,0.9559943601198285,1.2899368637552362,0.24200996944674857
standing,high,control,-0.010214053968105421,0.057934551862393845,61,64,24.0,,-0.17630332227935142,0.861598819743965,0.9898379323336105,0.8780420394379365,1.1158681341882741,0.861598819743965
context,Academia,he,-0.3682477018100648,0.15836436379086474,19,24,22.0,,-2.3253192384643495,0.030156478154254165,0.6919457642411316,0.4977862926621973,0.9618363295836164,0.08041727507801111
context,Academia,de,0.35805343323573313,0.1235826474308779,22,24,24.0,,2.8972791947672034,0.008122924584286095,1.4305420569287104,1.1078301131775095,1.8472602904538662,0.06498339667428876
context,Academia,pg,0.6001228438610756,0.11135384494830017,23,24,22.0,,5.389332035545815,2.404593627822454e-05,1.8223426502482962,1.4456366983908673,2.2972111448267065,0.00019236749022579633
context,Academia,control,-0.10119193079568255,0.16186366550156714,21,24,24.0,,-0.6251676710898582,0.5380148774585031,0.9037595569478385,0.6465967536914112,1.2632004910503507,0.6148741456668606
context,Diplomacy,he,-0.07637680390558277,0.18740421355403525,19,24,19.0,,-0.40755115617270066,0.6884094707750955,0.9264670443799609,0.6249407419659245,1.3734761181067985,0.6884094707750955
context,Diplomacy,de,0.023686983524680714,0.08314454823777126,24,24,21.0,,0.2848891963059592,0.7786581608392046,1.0239697483200076,0.8609236065283488,1.2178944072664526,0.843939745827995
context,Diplomacy,pg,0.11190785903580579,0.12091983235595516,24,24,24.0,,0.9254715033542176,0.36433000386771,1.1184098045395192,0.8708949896095834,1.436270165534962,0.6724361536276606
context,Diplomacy,control,0.05447333127718675,0.12976652841704842,21,24,24.0,,0.41977952205146746,0.6785418754542527,1.0559843142852297,0.8073732635958765,1.3811491193676704,0.6785418754542527
context,Fiction,he,-0.17035391573568517,0.10691278872808907,21,24,22.0,,-1.5933913777980828,0.12601363957975087,0.8433662831731005,0.6752372074804527,1.053358256496552,0.2016218233276014
context,Fiction,de,-0.07192412656613281,0.13687485818361184,24,24,23.0,,-0.5254736152467799,0.6045104521976198,0.930601501064088,0.7006230918710133,1.2360699552023477,0.806013936263493
context,Fiction,pg,0.09500035280663442,0.12841421394433453,24,24,23.0,,0.739796241308735,0.46724528953225675,1.0996592430931111,0.8425566092467858,1.4352156729280647,0.6724361536276606
context,Fiction,control,-0.21200321841313569,0.0914121740543062,24,24,22.0,,-2.3192011414933495,0.030546820603419973,0.8089620939880806,0.6689103450898366,0.9783368941942282,0.24437456482735978
context,Government,he,-0.22054925273196982,0.1724291480108423,21,24,24.0,,-1.279071753681122,0.21362650636031016,0.80207813334944,0.5614423833877931,1.1458510276965839,0.28483534181374687
context,Government,de,0.323329366518946,0.13589838106573715,24,24,24.0,,2.379199545891163,0.026032140884846525,1.3817203683956485,1.0431053173033122,1.8302573525126296,0.06941904235959073
context,Government,pg,0.08006306779323794,0.13862644584091774,24,24,24.0,,0.5775454121150532,0.5691823911778388,1.0833553903542177,0.8132574243783626,1.443157930844173,0.6724361536276606
context,Government,control,-0.1849925015220164,0.12197950351286314,23,24,24.0,,-1.5165867723220265,0.14299612676757342,0.8311105158926656,0.6457606660875191,1.0696605196045759,0.38132300471352915
context,Interpersonal,he,-0.5775331873568258,0.1878924013763664,13,24,21.0,,-3.073744244717868,0.0059908420939908036,0.5612812358734357,0.3792840551853365,0.8306086729368818,0.030351403818984442
context,Interpersonal,de,0.31154621873261995,0.1966603348246792,21,24,24.0,,1.5841843196817518,0.12680648657835739,1.3655348982577038,0.9091213643595042,2.0510854012031596,0.2028903785253718
context,Interpersonal,pg,0.09649567587881919,0.18406518043268863,22,24,24.0,,0.5242473109361767,0.6051226183784305,1.101304818958004,0.7525617992843278,1.6116580796600901,0.6724361536276606
context,Interpersonal,control,-0.12050510875716876,0.14656704161805872,21,24,24.0,,-0.8221842197729203,0.4194143708801341,0.8864725585607717,0.6546188410194561,1.2004445149447276,0.5592191611735121
context,Markets,he,-0.5236720915314949,0.1763841933396819,19,24,21.0,,-2.9689286869544116,0.0075878509547461104,0.5923414175325685,0.40999796959082674,0.8557807134378135,0.030351403818984442
context,Markets,de,-0.02511951858432024,0.12616994187907465,23,24,24.0,,-0.1990927332628527,0.843939745827995,0.9751933513340969,0.7511710207875345,1.2660260395684437,0.843939745827995
context,Markets,pg,-0.060325974788427765,0.14085860628830943,24,24,24.0,,-0.42827326194717946,0.6724361536276606,0.9414575921199722,0.7034811462753157,1.2599376720374187,0.6724361536276606
context,Markets,control,-0.1005722630644236,0.0979917912071786,22,24,24.0,,-1.0263335512644038,0.31540807000039595,0.9043197611343986,0.7383895650712025,1.1075376319806423,0.5046529120006336
context,Media,he,-0.29938399107475333,0.2667362528923784,18,24,21.0,,-1.1223970788685687,0.2749880216383036,0.7412747119045416,0.42494902234780724,1.2930685084843485,0.31427202472948984
context,Media,de,0.2571179982763567,0.10119290387706854,24,24,24.0,,2.540869847837448,0.01826544150443723,1.2931977128578338,1.0489446123074841,1.5943266259424786,0.06941904235959073
context,Media,pg,-0.15688194617570225,0.11647858161147255,24,24,24.0,,-1.3468737685954975,0.19114320963647866,0.854804965856585,0.6717720210040289,1.087707595444341,0.5097152256972765
context,Media,control,-0.10202049262852694,0.09486339515786456,21,24,23.0,,-1.0754463558757525,0.2938283759165114,0.9030110464093369,0.7417410151141659,1.0993445600574994,0.5046529120006336
context,Work,he,0.3696672565745274,0.19445808320781868,19,24,22.0,,1.9010125497301211,0.07111283202320208,1.4472529706248536,0.9658657153246323,2.168563525705515,0.14222566404640416
context,Work,de,0.2670704859579334,0.144666358539666,23,24,24.0,,1.846113281995036,0.07778606039145486,1.306132507087071,0.9683180538873748,1.7617993584037632,0.15557212078290972
context,Work,pg,0.21356753031555142,0.11903597142358287,22,24,23.0,,1.794142793656745,0.08654661740647375,1.238087103857902,0.967250309974566,1.5847600780604083,0.346186469625895
