panel,family,test,p,q,sig_p05,sig_q05
A,8 idiomas de he,en,0.255749966203196,0.409199945925113,False,False
A,8 idiomas de he,de,0.0222534542520615,0.060868641017139,True,False
A,8 idiomas de he,fr,0.579324535256835,0.73327619062166,False,False
A,8 idiomas de he,es,0.641616666793953,0.73327619062166,False,False
A,8 idiomas de he,pt,0.0504262134302583,0.100852426860517,False,False
A,8 idiomas de he,zh,0.790366116784464,0.790366116784464,False,False
A,8 idiomas de he,hi,0.0228257403814271,0.060868641017139,True,False
A,8 idiomas de he,sw,0.002671101408654,0.0213688112692325,True,True
A,8 idiomas de de,en,0.891459822339964,0.891459822339964,False,False
A,8 idiomas de de,de,0.199973534195781,0.799894136783125,False,False
A,8 idiomas de de,fr,0.653259555622668,0.891459822339964,False,False
A,8 idiomas de de,es,0.708637623532953,0.891459822339964,False,False
A,8 idiomas de de,pt,0.724966300013201,0.891459822339964,False,False
A,8 idiomas de de,zh,0.630079001774846,0.891459822339964,False,False
A,8 idiomas de de,hi,0.0029441140216776,0.0235529121734216,True,True
A,8 idiomas de de,sw,0.889448653506145,0.891459822339964,False,False
A,8 idiomas de pg,en,0.92642453140477,0.983583165585985,False,False
A,8 idiomas de pg,de,0.279318958284803,0.563984269701031,False,False
A,8 idiomas de pg,fr,0.281992134850515,0.563984269701031,False,False
A,8 idiomas de pg,es,0.977745644527579,0.983583165585985,False,False
A,8 idiomas de pg,pt,0.393171573145544,0.629074517032871,False,False
A,8 idiomas de pg,zh,0.983583165585985,0.983583165585985,False,False
A,8 idiomas de pg,hi,0.0329943675230931,0.263954940184745,True,False
A,8 idiomas de pg,sw,0.19342890199097,0.563984269701031,False,False
A,8 idiomas de control,en,0.0441849584899537,0.305844325047658,True,False
A,8 idiomas de control,de,0.874831999032001,0.993166193428209,False,False
A,8 idiomas de control,fr,0.993166193428209,0.993166193428209,False,False
A,8 idiomas de control,es,0.98127419736846,0.993166193428209,False,False
A,8 idiomas de control,pt,0.485590933437243,0.776945493499589,False,False
A,8 idiomas de control,zh,0.319796474769442,0.639592949538883,False,False
A,8 idiomas de control,hi,0.169301385477291,0.451470361272776,False,False
A,8 idiomas de control,sw,0.0764610812619145,0.305844325047658,False,False
C,test único,C B1,2.2305026108970992e-09,2.2305026108970992e-09,True,True
C,test único,C B2,3.144526934822855e-09,3.144526934822855e-09,True,True
D,"4 modos, peso eq",he,0.3214196450887278,0.3214196450887278,False,False
D,"4 modos, peso eq",de,0.0004998750312421,0.0006665000416562,True,True
D,"4 modos, peso eq",pg,0.0004998750312421,0.0006665000416562,True,True
D,"4 modos, peso eq",control,0.0004998750312421,0.0006665000416562,True,True
D,"4 modos, peso wt",he,0.1149712571857035,0.1149712571857035,False,False
D,"4 modos, peso wt",de,0.0084978755311172,0.0169957510622344,True,True
D,"4 modos, peso wt",pg,0.0229942514371407,0.0306590019161876,True,True
D,"4 modos, peso wt",control,0.0004998750312421,0.0019995001249687,True,True
F,3 tipos de par,CN–CN,0.0438,0.10710000000000001,True,False
F,3 tipos de par,US–US,0.0714,0.10710000000000001,False,False
F,3 tipos de par,mixto,0.1134,0.1134,False,False
F,test único,dentro − mixto,0.0094,0.0094,True,True
