lang,mode,n_models,rate,delta_pp,lo,hi,p,mean_langs
en,he,24,3.0815972222222223,-0.6100918600151667,-1.1033130170172445,-0.12568745862795175,0.013,3.691689082237389
en,de,24,14.541293993600931,-0.09391288215220712,-1.1806802950324828,1.0161441006308167,0.849,14.63520687575314
en,pg,24,23.632812499999996,-0.5707241028099267,-1.6675810527397306,0.5686326706341954,0.304,24.203536602809926
en,control,24,20.272278577661428,1.6888384886668564,0.5531147517932266,2.8888697723156995,0.002,18.58344008899457
de,he,24,2.7560763888888884,-0.9356126933484998,-1.374230763268849,-0.5249598947603524,0.0,3.691689082237389
de,de,24,13.129340277777777,-1.5058665979753596,-2.5429449700759266,-0.46522707793591,0.008,14.63520687575314
de,pg,24,22.707606166375797,-1.4959304364341264,-2.440381333752058,-0.5282530324351433,0.003,24.203536602809926
de,control,24,18.762384562245494,0.1789444732509172,-0.772054478075954,1.1527769386938476,0.764,18.58344008899457
fr,he,24,3.7543402777777777,0.06265119554038882,-0.3915691397339811,0.5002639835179814,0.803,3.691689082237389
fr,de,24,14.47482638888889,-0.16038048686424858,-1.0032391189528276,0.7051656218852789,0.737,14.63520687575314
fr,pg,24,25.868055555555554,1.6645189527456294,0.4994052912763846,2.7679109197691365,0.002,24.203536602809926
fr,control,24,18.78442681064572,0.20098672165114984,-0.786590582564177,1.2200234822445744,0.681,18.58344008899457
es,he,24,3.255208333333333,-0.4364807489040555,-0.9014020647321427,0.06356202191677099,0.088,3.691689082237389
es,de,24,14.04079861111111,-0.5944082646420267,-1.5661993062962565,0.42976749146210996,0.25,14.63520687575314
es,pg,24,24.399860020360677,0.1963234175507481,-0.7863297879596791,1.2041538671357288,0.669,24.203536602809926
es,control,24,18.473222076788833,-0.11021801220574355,-1.1141040131716764,0.8272507101958345,0.804,18.58344008899457
zh,he,24,3.8194444444444446,0.12775536220705566,-0.3664158589919389,0.650945816117337,0.656,3.691689082237389
zh,de,24,14.371091477603256,-0.2641153981498798,-1.324190003326926,0.8240102170203812,0.638,14.63520687575314
zh,pg,24,24.57608438772542,0.37254778491549595,-1.0473102392599694,1.7885749225122867,0.639,24.203536602809926
zh,control,24,17.664930555555557,-0.9185095334390192,-2.3154609751859923,0.47565048421422884,0.198,18.58344008899457
pt,he,24,2.734375,-0.9573140822373889,-1.4457915800721188,-0.47691076242037417,0.0,3.691689082237389
pt,de,24,13.871277814136123,-0.7639290616170119,-1.7011477736768137,0.2427759695992264,0.147,14.63520687575314
pt,pg,24,23.077097876672482,-1.1264387261374418,-2.033105351072311,-0.2029862302054893,0.019,24.203536602809926
pt,control,24,17.491319444444446,-1.0921206445501304,-2.1246547417528263,-0.1685776378350338,0.019,18.58344008899457
hi,he,24,5.208333333333334,1.5166442510959444,0.8675970183557717,2.238392312959093,0.0,3.691689082237389
hi,de,24,17.843427319662595,3.208220443909456,1.7435562427961036,4.649476665001323,0.0,14.63520687575314
hi,pg,24,26.929139254385966,2.72560265157604,1.5271724807670553,3.8648340984006206,0.0,24.203536602809926
hi,control,24,20.134956446526438,1.551516357531864,0.3806981658634627,2.7542809190658506,0.014,18.58344008899457
sw,he,22,4.925357964461368,1.3444893552673332,0.74568905679835,1.982750339620022,0.0,3.580868609194035
sw,de,22,14.99905798825956,0.19024608817229843,-1.0062185378801258,1.4105558384635133,0.744,14.808811900087262
sw,pg,22,22.796551036682615,-1.9264358633524552,-3.451702379260898,-0.42607764775733487,0.01,24.72298690003507
sw,control,22,16.826252849520273,-1.6357503828064335,-3.1244803546414874,-0.21993829179798052,0.018,18.462003232326712
