panel,family,test,p,q,sig_p05,sig_q05
A,8 idiomas de he,en,0.219889573195424,0.236215357406929,False,False
A,8 idiomas de he,de,0.0025671207429462,0.0102684829717848,True,True
A,8 idiomas de he,fr,0.113769383614337,0.223085860879824,False,False
A,8 idiomas de he,es,0.236215357406929,0.236215357406929,False,False
A,8 idiomas de he,pt,0.0374593123280949,0.0998914995415863,True,False
A,8 idiomas de he,zh,0.152025465788592,0.223085860879824,False,False
A,8 idiomas de he,hi,0.167314395659868,0.223085860879824,False,False
A,8 idiomas de he,sw,0.0001139312581438,0.0009114500651509,True,True
A,8 idiomas de de,en,0.893452543540708,0.893452543540708,False,False
A,8 idiomas de de,de,0.0292389171177146,0.116955668470858,True,False
A,8 idiomas de de,fr,0.593532272646732,0.893452543540708,False,False
A,8 idiomas de de,es,0.496541350813723,0.893452543540708,False,False
A,8 idiomas de de,pt,0.628359476292023,0.893452543540708,False,False
A,8 idiomas de de,zh,0.717358561308651,0.893452543540708,False,False
A,8 idiomas de de,hi,0.0127088947995201,0.101671158396161,True,False
A,8 idiomas de de,sw,0.879535431969288,0.893452543540708,False,False
A,8 idiomas de pg,en,0.777101103765658,0.777101103765658,False,False
A,8 idiomas de pg,de,0.0474932238007552,0.189972895203021,True,False
A,8 idiomas de pg,fr,0.0210153581030076,0.168122864824061,True,False
A,8 idiomas de pg,es,0.65562424262327,0.749284848712308,False,False
A,8 idiomas de pg,pt,0.4823699352389,0.71459976470657,False,False
A,8 idiomas de pg,zh,0.535949823529928,0.71459976470657,False,False
A,8 idiomas de pg,hi,0.130491146554033,0.260982293108066,False,False
A,8 idiomas de pg,sw,0.120060614693833,0.260982293108066,False,False
A,8 idiomas de control,en,0.0452137846323531,0.180855138529412,True,False
A,8 idiomas de control,de,0.486139805999977,0.682882955040566,False,False
A,8 idiomas de control,fr,0.366700557586544,0.682882955040566,False,False
A,8 idiomas de control,es,0.818257014377894,0.831521680884751,False,False
A,8 idiomas de control,pt,0.512162216280425,0.682882955040566,False,False
A,8 idiomas de control,zh,0.831521680884751,0.831521680884751,False,False
A,8 idiomas de control,hi,0.335421369197917,0.682882955040566,False,False
A,8 idiomas de control,sw,0.0422922520555426,0.180855138529412,True,False
C,test único,C B1,1.9358188982978672e-08,1.9358188982978672e-08,True,True
C,test único,C B2,3.7849078200431165e-08,3.7849078200431165e-08,True,True
D,"4 modos, peso eq",he,0.6873281679580105,0.6873281679580105,False,False
D,"4 modos, peso eq",de,0.0004998750312421,0.0006665000416562,True,True
D,"4 modos, peso eq",pg,0.0004998750312421,0.0006665000416562,True,True
D,"4 modos, peso eq",control,0.0004998750312421,0.0006665000416562,True,True
D,"4 modos, peso wt",he,0.0584853786553361,0.0584853786553361,False,False
D,"4 modos, peso wt",de,0.0099975006248437,0.0199950012496875,True,True
D,"4 modos, peso wt",pg,0.0354911272181954,0.0473215029575939,True,True
D,"4 modos, peso wt",control,0.0004998750312421,0.0019995001249687,True,True
F,3 tipos de par,CN–CN,0.04,0.060000000000000005,True,False
F,3 tipos de par,US–US,0.0258,0.060000000000000005,True,False
F,3 tipos de par,mixto,0.6782,0.6782,False,False
F,test único,dentro − mixto,0.0213,0.0213,True,True
