panel,family,test,p,q,sig_p05,sig_q05
A,8 idiomas de he,en,0.208386221663798,0.223346930312605,False,False
A,8 idiomas de he,de,0.0020491839465117,0.008196735786047,True,True
A,8 idiomas de he,fr,0.104952873836685,0.209175880548415,False,False
A,8 idiomas de he,es,0.223346930312605,0.223346930312605,False,False
A,8 idiomas de he,pt,0.032817849824668,0.0875142661991147,True,False
A,8 idiomas de he,zh,0.140890638974306,0.209175880548415,False,False
A,8 idiomas de he,hi,0.156881910411312,0.209175880548415,False,False
A,8 idiomas de he,sw,7.44884134746269e-05,0.000595907307797,True,True
A,8 idiomas de de,en,0.892114485593635,0.892114485593635,False,False
A,8 idiomas de de,de,0.026049644837771,0.104198579351084,True,False
A,8 idiomas de de,fr,0.586947312284928,0.892114485593635,False,False
A,8 idiomas de de,es,0.488481386716859,0.892114485593635,False,False
A,8 idiomas de de,pt,0.621318912286326,0.892114485593635,False,False
A,8 idiomas de de,zh,0.712246145720058,0.892114485593635,False,False
A,8 idiomas de de,hi,0.0110037271295953,0.0880298170367627,True,False
A,8 idiomas de de,sw,0.87627943857414,0.892114485593635,False,False
A,8 idiomas de pg,en,0.770559360835066,0.770559360835066,False,False
A,8 idiomas de pg,de,0.0438070814909445,0.175228325963778,True,False
A,8 idiomas de pg,fr,0.0190768440435776,0.15261475234862,True,False
A,8 idiomas de pg,es,0.650295363945876,0.743194701652429,False,False
A,8 idiomas de pg,pt,0.474400607665144,0.706665190180674,False,False
A,8 idiomas de pg,zh,0.529998892635505,0.706665190180674,False,False
A,8 idiomas de pg,hi,0.124312518634861,0.248625037269722,False,False
A,8 idiomas de pg,sw,0.114539668945682,0.248625037269722,False,False
A,8 idiomas de control,en,0.0418058617396669,0.167223446958668,True,False
A,8 idiomas de control,de,0.478531824180737,0.674053665925773,False,False
A,8 idiomas de control,fr,0.359809000022166,0.674053665925773,False,False
A,8 idiomas de control,es,0.814709454707355,0.831651091849887,False,False
A,8 idiomas de control,pt,0.50554024944433,0.674053665925773,False,False
A,8 idiomas de control,zh,0.831651091849887,0.831651091849887,False,False
A,8 idiomas de control,hi,0.327683947643497,0.674053665925773,False,False
A,8 idiomas de control,sw,0.0390018525472334,0.167223446958668,True,False
C,test único,C B1,1.9358188982978672e-08,1.9358188982978672e-08,True,True
C,test único,C B2,3.7849078200431165e-08,3.7849078200431165e-08,True,True
D,"4 modos, peso eq",he,0.000999500249875,0.000999500249875,True,True
D,"4 modos, peso eq",de,0.000999500249875,0.000999500249875,True,True
D,"4 modos, peso eq",pg,0.000999500249875,0.000999500249875,True,True
D,"4 modos, peso eq",control,0.000999500249875,0.000999500249875,True,True
D,"4 modos, peso wt",he,0.224887556221889,0.224887556221889,False,False
D,"4 modos, peso wt",de,0.000999500249875,0.0013326669998334,True,True
D,"4 modos, peso wt",pg,0.000999500249875,0.0013326669998334,True,True
D,"4 modos, peso wt",control,0.000999500249875,0.0013326669998334,True,True
F,3 tipos de par,CN–CN,0.04,0.060000000000000005,True,False
F,3 tipos de par,US–US,0.0258,0.060000000000000005,True,False
F,3 tipos de par,mixto,0.6782,0.6782,False,False
F,test único,dentro − mixto,0.0213,0.0213,True,True
