set,model,a,b,mode,n,excess
geo,deepseek-v4-pro,76,69,PS,145,-0.018099184382231834
geo,gemini-3.1-flash-lite,18,30,PS,48,0.13543349728651322
geo,gemma-4-31b,29,13,PS,42,0.25856670970469636
geo,glm-5.2,85,99,PS,184,0.017345991251216407
geo,gpt-5.6-luna,44,27,PS,71,0.14441114617777212
geo,gpt-5.6-sol,74,24,PS,98,0.4298109125546947
geo,gpt-5.6-terra,59,28,PS,87,0.27053347616291
geo,grok-4.3,76,66,PS,142,0.0035833275960758665
geo,haiku-4.5,98,64,PS,162,0.14728547681064746
geo,hy3,114,62,PS,176,0.23539710279332682
geo,inkling,78,44,PS,122,0.20659932419570384
geo,kimi-k2.6,124,95,PS,219,0.07844246626327343
geo,kimi-k3,62,39,PS,101,0.14813353489004896
geo,ling-3.0-flash,83,54,PS,137,0.14338644726778418
geo,mimo-v2.5-pro,28,42,PS,70,0.10497452645946236
geo,minimax-m3,131,98,PS,229,0.0913215155626853
geo,nemotron-3-ultra,66,86,PS,152,0.0669683178464634
geo,nemotron-3.5-lightning,39,28,PS,67,0.0663376045743112
geo,nova-2-lite,63,153,PS,216,0.3624402967897903
geo,qwen3.7-plus,68,104,PS,172,0.14855256095522984
geo,qwen3.8-27b,76,109,PS,185,0.11963741310785561
geo,qwen3.8-flash,95,68,PS,163,0.10305310537991198
geo,seed-2-1-turbo,53,60,PS,113,-0.01327800368790591
geo,sonnet-5,74,51,PS,125,0.11249216412485012
neutral,deepseek-v4-pro,21,23,PS,44,-0.07414963326478247
neutral,gemini-3.1-flash-lite,7,3,PS,10,0.15390624999999994
neutral,gemma-4-31b,11,12,PS,23,-0.12470983422320822
neutral,glm-5.2,43,38,PS,81,-0.02719948371217884
neutral,gpt-5.6-luna,13,22,PS,35,0.1213090975835387
neutral,gpt-5.6-sol,22,22,PS,44,-0.11960417871932792
neutral,gpt-5.6-terra,18,13,PS,31,0.016825874486277176
neutral,grok-4.3,31,34,PS,65,-0.05319290759412075
neutral,haiku-4.5,33,34,PS,67,-0.08291612676897238
neutral,hy3,42,34,PS,76,0.014040083170229006
neutral,inkling,28,23,PS,51,-0.01423595697294254
neutral,kimi-k2.6,43,47,PS,90,-0.03942667854426616
neutral,kimi-k3,22,25,PS,47,-0.053174300643560934
neutral,ling-3.0-flash,28,39,PS,67,0.0663376045743112
neutral,mimo-v2.5-pro,9,18,PS,27,0.17835231622060138
neutral,minimax-m3,55,57,PS,112,-0.05736776348563031
neutral,nemotron-3-ultra,37,37,PS,74,-0.0924393823875013
neutral,nemotron-3.5-lightning,13,12,PS,25,-0.1211802577972412
neutral,nova-2-lite,46,29,PS,75,0.13422728427916542
neutral,qwen3.7-plus,40,27,PS,67,0.09618835084296792
neutral,qwen3.8-27b,35,48,PS,83,0.06878311357670025
neutral,qwen3.8-flash,35,37,PS,72,-0.06592789751914127
neutral,seed-2-1-turbo,17,24,PS,41,0.04536101969749384
neutral,sonnet-5,38,40,PS,78,-0.06441252248444998
geo,deepseek-v4-pro,18,23,control,41,-0.0034194681073842215
geo,gemini-3.1-flash-lite,3,3,control,6,-0.3125000000000003
geo,gemma-4-31b,14,4,control,18,0.370084974500868
geo,glm-5.2,26,31,control,57,-0.018427606919364264
geo,gpt-5.6-luna,25,21,control,46,-0.030047566138473092
geo,gpt-5.6-sol,9,19,control,28,0.2076968763555799
geo,gpt-5.6-terra,19,19,control,38,-0.12858532063546596
geo,grok-4.3,15,27,control,42,0.16332861446660113
geo,haiku-4.5,15,19,control,34,-0.018186700735788985
geo,hy3,19,21,control,40,-0.07537068761957928
geo,inkling,14,7,control,21,0.15713628133138016
geo,kimi-k2.6,22,21,control,43,-0.0991298572941961
geo,kimi-k3,17,24,control,41,0.04536101969749384
geo,ling-3.0-flash,20,20,control,40,-0.12537068761957929
geo,mimo-v2.5-pro,18,16,control,34,-0.07701023014755369
geo,minimax-m3,36,36,control,72,-0.09370567529691905
geo,nemotron-3-ultra,11,18,control,29,0.09193332955755035
geo,nemotron-3.5-lightning,10,10,control,20,-0.17619705200195324
geo,nova-2-lite,12,40,control,52,0.42834550373807556
geo,qwen3.7-plus,18,25,control,43,0.040405026426734145
geo,qwen3.8-27b,17,22,control,39,-0.00038019243033776684
geo,qwen3.8-flash,21,19,control,40,-0.07537068761957928
geo,seed-2-1-turbo,19,19,control,38,-0.12858532063546596
geo,sonnet-5,22,14,control,36,0.0901616226506626
neutral,deepseek-v4-pro,6,5,control,11,-0.15518465909090917
neutral,gemini-3.1-flash-lite,4,1,control,5,0.22500000000000003
neutral,gemma-4-31b,2,1,control,3,-0.1666666666666668
neutral,glm-5.2,8,12,control,20,0.023802947998046775
neutral,gpt-5.6-luna,5,7,control,12,-0.05891927083333354
neutral,gpt-5.6-sol,6,6,control,12,-0.2255859375000002
neutral,gpt-5.6-terra,7,9,control,16,-0.07138061523437503
neutral,grok-4.3,7,12,control,19,0.07768731368215451
neutral,haiku-4.5,8,5,control,13,0.005183293269230643
neutral,hy3,17,11,control,28,0.06483973349843702
neutral,inkling,5,2,control,7,0.11607142857142855
neutral,kimi-k2.6,13,11,control,24,-0.07784692446390802
neutral,kimi-k3,6,5,control,11,-0.15518465909090917
neutral,ling-3.0-flash,10,12,control,22,-0.07727900418368244
neutral,mimo-v2.5-pro,8,0,control,8,0.7265625
neutral,minimax-m3,17,15,control,32,-0.07744993409141901
neutral,nemotron-3-ultra,4,10,control,14,0.21909877232142855
neutral,nemotron-3.5-lightning,3,3,control,6,-0.3125000000000003
neutral,nova-2-lite,11,10,control,21,-0.12857800438290554
neutral,qwen3.7-plus,15,8,control,23,0.1361597309941831
neutral,qwen3.8-27b,12,11,control,23,-0.12470983422320822
neutral,qwen3.8-flash,12,7,control,19,0.07768731368215451
neutral,seed-2-1-turbo,6,8,control,14,-0.06661551339285715
neutral,sonnet-5,8,8,control,16,-0.19638061523437503
