quantity,p,documented_family,q_documented_family,family,q_bh
r1 (promedio),0.0359328907987316,main_2,0.0359328907987316,principal,0.03593
r1 en modelos US,0.593679605701386,origin_4,0.593679605701386,por_origen,0.59368
r1 en modelos CN,0.0144424493821543,origin_4,0.0288848987643086,por_origen,0.02888
r1 x origen (US - CN),0.176882179451897,other,,otro,
r1 en he,0.463813798493978,simple_type_8,0.463813798493978,por_modo,0.59007
r1 en de,0.0008103962918995,simple_type_8,0.003241585167598,por_modo,0.00378
r1 en pg,0.0329275882355659,simple_type_8,0.052684141176905445,por_modo,0.06586
r1 en ctl,0.053572307236834,simple_type_8,0.061225493984953146,por_modo,0.075
r1 en pg - en ctl,0.589086434530611,type_minus_control_6,0.590073435735075,por_modo,0.59007
r1 en de - en ctl,0.0001965708805944,type_minus_control_6,0.0011794252835664,por_modo,0.00138
r1 en he - en ctl,0.0444911172526547,type_minus_control_6,0.0889822345053094,por_modo,0.06921
r2 (promedio),0.0018260725064319,main_2,0.0036521450128638,principal,0.00365
r2 en modelos US,0.229327756588891,origin_4,0.30577034211852133,por_origen,0.30577
r2 en modelos CN,0.001202674296724,origin_4,0.004810697186896,por_origen,0.00481
r2 x origen (US - CN),0.150736979877576,other,,otro,
r2 en he,0.04251845896057,simple_type_8,0.05669127861409333,por_modo,0.06921
r2 en de,8.14783713976412e-05,simple_type_8,0.0006518269711811296,por_modo,0.00114
r2 en pg,0.0023185090461833,simple_type_8,0.006182690789822133,por_modo,0.00811
r2 en ctl,0.0050832819306191,simple_type_8,0.0101665638612382,por_modo,0.01423
r2 en pg - en ctl,0.590073435735075,type_minus_control_6,0.590073435735075,por_modo,0.59007
r2 en de - en ctl,0.0085586285570855,type_minus_control_6,0.025675885671256497,por_modo,0.01997
r2 en he - en ctl,0.574079280363978,type_minus_control_6,0.590073435735075,por_modo,0.59007
"omnibus nivel (r1, r2)",0.000980262578397,other,,otro,
omnibus nivel x origen,0.1472921660737,other,,otro,
omnibus nivel x modo,0.0001115515382452,other,,otro,
